candidate_id,recommended_occupation,system_rank,final_hybrid_percentage,skill_percentage,tfidf_percentage,semantic_percentage,demand_percentage,education_percentage,human_relevant,human_relevance_grade,reviewer_notes,final_hybrid_score
Candidate_002,Delivery Driver,15,11.41,11.42,51.44,0,37.05,0,0,0,No meaningful connection,0.114075398
Candidate_003,Administrative Assistant,1,74.33,100,48.34,58.76,43.85,100,1,3,"Strong direct alignment with the candidate's education, skills, and professional experience.",0.743336583
Candidate_003,Office Manager,2,67.36,88.03,36.1,45.66,52.86,100,1,3,"Strong direct alignment with the candidate's education, skills, and professional experience.",0.673638597
Candidate_003,Office Administrator,3,65.1,71.26,12.59,55.95,52.86,100,1,2,"Reasonable career option with several relevant transferable skills, but alignment is not direct.",0.650964453
Candidate_003,"Driver, Truck",4,56.91,69.59,20.71,13.69,88.8,100,1,2,"Reasonable career option with several relevant transferable skills, but alignment is not direct.",0.569071753
Candidate_003,Inside Sales Representative,5,50.17,58.38,50.69,35.56,86.44,0,1,1,Some transferable skills are present,0.501672573
Candidate_003,Retail Sales Associate,6,49.07,58.38,50.54,32.42,86.44,0,1,1,Some transferable skills are present,0.490676498
Candidate_003,Information Technology (IT) Analyst,7,49,24.77,77.4,100,26.64,0,0,0,No meaningful connection,0.489956013
Candidate_003,Food Service Supervisor,8,44.08,52.29,50.53,34.61,68.33,0,1,1,Some transferable skills are present,0.440819265
Candidate_003,Software Developer,9,40.53,5.82,100,96.89,22.91,0,0,0,No meaningful connection,0.405289832
Candidate_003,Secondary School Teacher,10,39.58,46.61,61.88,45.69,36.36,0,0,1,Some transferable skills are present,0.395767512
Candidate_003,Continuing Care Assistant,11,37.13,46.9,0,34.05,43.96,0,1,1,Some transferable skills are present,0.371251378
Candidate_003,Restaurant Manager,12,31.29,38.12,31.46,17.75,58.65,0,0,1,Some transferable skills are present,0.312850018
Candidate_003,Delivery Driver,13,24.53,48.91,79.47,0,37.05,0,1,1,Some transferable skills are present,0.245308509
Candidate_003,Bookkeeper,14,17.29,0.98,49.39,31.32,29.92,0,0,0,No meaningful connection,0.17290896
Candidate_003,Licensed Practical Nurse (L.P.N.),15,13.63,0,44.85,21.57,30.39,0,0,0,No meaningful connection,0.13629456
Candidate_004,Software Developer,1,84.58,100,19.95,100,22.91,100,1,3,"Strong direct alignment with the candidate's education, skills, and professional experience.",0.845817172
Candidate_004,Information Technology (IT) Analyst,2,69.93,74.24,100,81.76,26.64,100,1,2,"Reasonable career option with several relevant transferable skills, but alignment is not direct.",0.699275502
Candidate_004,Secondary School Teacher,3,57.17,76.52,6.69,37.48,36.36,100,1,2,"Reasonable career option with several relevant transferable skills, but alignment is not direct.",0.571702113
Candidate_004,Bookkeeper,4,55.33,72.19,20.73,40.24,29.92,100,1,2,"Reasonable career option with several relevant transferable skills, but alignment is not direct.",0.553341427
Candidate_004,Licensed Practical Nurse (L.P.N.),5,46.1,72.05,5.29,13.71,30.39,100,1,2,"Reasonable career option with several relevant transferable skills, but alignment is not direct.",0.460950573
Candidate_004,Office Manager,6,46.09,64.44,13.53,37.03,52.86,0,1,2,"Reasonable career option with several relevant transferable skills, but alignment is not direct.",0.460885054
Candidate_004,Food Service Supervisor,7,45.52,37.94,4.7,53.08,68.33,0,0,1,Some transferable skills are present,0.455238564
Candidate_004,"Driver, Truck",8,42.72,60.02,7.82,11.28,88.8,0,1,2,"Reasonable career option with several relevant transferable skills, but alignment is not direct.",0.427167848
Candidate_004,Office Administrator,9,41.14,52.41,9.19,34.92,52.86,0,1,1,Some transferable skills are present,0.411389177
Candidate_004,Restaurant Manager,10,36.23,53.23,3.71,16.76,58.65,0,0,1,Some transferable skills are present,0.362294862
Candidate_004,Inside Sales Representative,11,33.36,15.04,5.98,30.89,86.44,0,0,0,No meaningful connection,0.333643843
Candidate_004,Retail Sales Associate,12,32.66,15.04,5.96,28.88,86.44,0,0,0,No meaningful connection,0.326603295
Candidate_004,Continuing Care Assistant,13,29.14,35.66,0,22.48,43.96,0,0,1,Some transferable skills are present,0.291422489
Candidate_004,Delivery Driver,14,22.74,43.8,10.43,0,37.05,0,0,1,Some transferable skills are present,0.227393845
Candidate_004,Administrative Assistant,15,20.7,0,13.76,34.1,43.85,0,0,0,No meaningful connection,0.207047088
Candidate_005,Software Developer,1,84.58,100,100,100,22.91,100,1,3,"Strong direct alignment with the candidate's education, skills, and professional experience.",0.845817172
Candidate_005,Office Manager,2,65.46,92.47,52.17,35.78,52.86,100,1,3,"Strong direct alignment with the candidate's education, skills, and professional experience.",0.654600437
Candidate_005,Office Administrator,3,62.74,75.19,26.76,45.29,52.86,100,1,2,"Reasonable career option with several relevant transferable skills, but alignment is not direct.",0.627396952
Candidate_005,Secondary School Teacher,4,61.95,82.18,33.88,45.46,36.36,100,1,3,"Strong direct alignment with the candidate's education, skills, and professional experience.",0.619462277
Candidate_005,Bookkeeper,5,59.69,92.61,40.55,32.28,29.92,100,1,3,"Strong direct alignment with the candidate's education, skills, and professional experience.",0.596930081
Candidate_005,Information Technology (IT) Analyst,6,56.09,64.25,69.6,80.78,26.64,0,1,2,"Reasonable career option with several relevant transferable skills, but alignment is not direct.",0.560861821
Candidate_005,Food Service Supervisor,7,46.25,59.55,41.7,33.53,68.33,0,1,1,Some transferable skills are present,0.462467303
Candidate_005,Inside Sales Representative,8,43.75,55.77,43.27,19.83,86.44,0,1,1,Some transferable skills are present,0.437493184
Candidate_005,Retail Sales Associate,9,42.64,55.77,43.15,16.67,86.44,0,1,1,Some transferable skills are present,0.426433939
Candidate_005,Restaurant Manager,10,39.51,66.45,26.85,12.92,58.65,0,1,2,"Reasonable career option with several relevant transferable skills, but alignment is not direct.",0.39507853
Candidate_005,"Driver, Truck",11,36.92,51.23,17.68,3.5,88.8,0,1,1,Some transferable skills are present,0.369163299
Candidate_005,Licensed Practical Nurse (L.P.N.),12,28.86,43.67,38.28,21.42,30.39,0,0,1,Some transferable skills are present,0.288588167
Candidate_005,Continuing Care Assistant,13,27.76,21.38,0,32.8,43.96,0,0,0,No meaningful connection,0.277566408
Candidate_005,Administrative Assistant,14,25.94,0,40.14,49.05,43.85,0,0,0,No meaningful connection,0.259352555
Candidate_005,Delivery Driver,15,19.4,34.27,67.1,0,37.05,0,0,1,Some transferable skills are present,0.194048281
Candidate_006,Software Developer,1,84.58,100,74.78,100,22.91,100,1,3,"Strong direct alignment with the candidate's education, skills, and professional experience.",0.845817172
Candidate_006,Information Technology (IT) Analyst,2,75.68,81.55,45.56,90.89,26.64,100,1,3,"Strong direct alignment with the candidate's education, skills, and professional experience.",0.756806407
Candidate_006,Administrative Assistant,3,61.04,70.54,38.66,50.23,43.85,100,1,2,"Reasonable career option with several relevant transferable skills, but alignment is not direct.",0.610374921
Candidate_006,Retail Sales Associate,4,55.05,73.75,30.81,34.15,86.44,0,1,2,"Reasonable career option with several relevant transferable skills, but alignment is not direct.",0.550519869
Candidate_006,Inside Sales Representative,5,54.83,73.75,30.9,33.5,86.44,0,1,2,"Reasonable career option with several relevant transferable skills, but alignment is not direct.",0.548258474
Candidate_006,Office Administrator,6,49.61,65.03,32.56,46.52,52.86,0,1,2,"Reasonable career option with several relevant transferable skills, but alignment is not direct.",0.496146305
Candidate_006,Bookkeeper,7,45.4,65.82,100,46.79,29.92,0,1,2,"Reasonable career option with several relevant transferable skills, but alignment is not direct.",0.453950613
Candidate_006,Secondary School Teacher,8,43.28,59.19,24.35,43.69,36.36,0,1,1,Some transferable skills are present,0.432777013
Candidate_006,Continuing Care Assistant,9,38.55,42.38,0,42.63,43.96,0,0,1,Some transferable skills are present,0.385459084
Candidate_006,Office Manager,10,38.47,34.96,46.89,44.75,52.86,0,0,1,Some transferable skills are present,0.384702518
Candidate_006,Licensed Practical Nurse (L.P.N.),11,32.42,42.9,27.33,32.36,30.39,0,0,1,Some transferable skills are present,0.324205411
Candidate_006,Food Service Supervisor,12,32.14,0,34.32,52.77,68.33,0,0,0,No meaningful connection,0.3213633
Candidate_006,Restaurant Manager,13,30.79,23.25,19.17,31.2,58.65,0,0,0,No meaningful connection,0.30788119
Candidate_006,"Driver, Truck",14,25.53,5.55,12.62,16.66,88.8,0,0,0,No meaningful connection,0.255335573
Candidate_006,Delivery Driver,15,12.1,13.4,50.24,0,37.05,0,0,0,No meaningful connection,0.121018884
Candidate_007,Food Service Supervisor,1,74.31,100,11.25,44.7,68.33,100,1,3,"Strong direct alignment with the candidate's education, skills, and professional experience.",0.743113221
Candidate_007,Administrative Assistant,2,69.91,100,19.29,46.13,43.85,100,1,3,"Strong direct alignment with the candidate's education, skills, and professional experience.",0.699146909
Candidate_007,Software Developer,3,39.58,0,24.82,100,22.91,0,0,0,No meaningful connection,0.395817172
Candidate_007,Information Technology (IT) Analyst,4,38.76,0,100,95.52,26.64,0,0,0,No meaningful connection,0.387595663
Candidate_007,Bookkeeper,5,30.6,0,24.04,41.76,29.92,100,0,0,No meaningful connection,0.30600322
Candidate_007,Retail Sales Associate,6,29.53,0,9.95,34.97,86.44,0,0,0,No meaningful connection,0.295276806
Candidate_007,Inside Sales Representative,7,29.29,0,9.98,34.29,86.44,0,0,0,No meaningful connection,0.292898451
Candidate_007,Continuing Care Assistant,8,28.95,0,0,29.02,43.96,100,0,0,No meaningful connection,0.289483438
Candidate_007,Secondary School Teacher,9,27.17,0,8.1,56.85,36.36,0,0,0,No meaningful connection,0.271703652
Candidate_007,Office Administrator,10,26.02,0,10.97,44.14,52.86,0,0,0,No meaningful connection,0.260211558
Candidate_007,Office Manager,11,24.34,0,15.56,39.35,52.86,0,0,0,No meaningful connection,0.243443869
Candidate_007,"Driver, Truck",12,23.67,0,9.57,16.88,88.8,0,0,0,No meaningful connection,0.236678187
Candidate_007,Restaurant Manager,13,22.05,0,6.19,29.5,58.65,0,0,0,No meaningful connection,0.22054965
Candidate_007,Delivery Driver,14,17.41,0,16.31,0,37.05,100,0,0,No meaningful connection,0.174106241
Candidate_007,Licensed Practical Nurse (L.P.N.),15,14.63,0,8.83,24.43,30.39,0,0,0,No meaningful connection,0.14630045
Candidate_008,Software Developer,1,84.58,100,100,100,22.91,100,1,3,"Strong direct alignment with the candidate's education, skills, and professional experience.",0.845817172
Candidate_008,Information Technology (IT) Analyst,2,70.08,78.79,92.66,77.64,26.64,100,1,2,"Reasonable career option with several relevant transferable skills, but alignment is not direct.",0.700799763
Candidate_008,Secondary School Teacher,3,61,87.07,33.8,37.86,36.36,100,1,3,"Strong direct alignment with the candidate's education, skills, and professional experience.",0.609997866
Candidate_008,Restaurant Manager,4,57.76,81.33,16.49,21.6,58.65,100,1,3,"Strong direct alignment with the candidate's education, skills, and professional experience.",0.577557407
Candidate_008,Food Service Supervisor,5,55.25,63.75,20.88,55.07,68.33,0,1,2,"Reasonable career option with several relevant transferable skills, but alignment is not direct.",0.552540814
Candidate_008,Licensed Practical Nurse (L.P.N.),6,53.63,91.61,23.5,15.67,30.39,100,1,3,"Strong direct alignment with the candidate's education, skills, and professional experience.",0.536265267
Candidate_008,Office Manager,7,48.28,69.6,62.85,38.13,52.86,0,1,2,"Reasonable career option with several relevant transferable skills, but alignment is not direct.",0.482768392
Candidate_008,Bookkeeper,8,43.86,72.15,39.43,36.06,29.92,0,1,2,"Reasonable career option with several relevant transferable skills, but alignment is not direct.",0.438570555
Candidate_008,Office Administrator,9,43.63,55.57,52.19,38.88,52.86,0,1,1,Some transferable skills are present,0.436301621
Candidate_008,"Driver, Truck",10,43.61,65.12,10.85,8.74,88.8,0,1,2,"Reasonable career option with several relevant transferable skills, but alignment is not direct.",0.436124877
Candidate_008,Inside Sales Representative,11,41.05,38.13,26.56,29.78,86.44,0,0,1,Some transferable skills are present,0.410543032
Candidate_008,Retail Sales Associate,12,40.25,38.13,26.49,27.48,86.44,0,0,1,Some transferable skills are present,0.402508569
Candidate_008,Continuing Care Assistant,13,37.39,54.02,0,27.69,43.96,0,1,1,Some transferable skills are present,0.373899798
Candidate_008,Delivery Driver,14,26.88,55.63,47.85,0,37.05,0,1,1,Some transferable skills are present,0.268811538
Candidate_008,Administrative Assistant,15,22.74,0,46.19,39.93,43.85,0,0,0,No meaningful connection,0.227445429
Candidate_009,Administrative Assistant,1,74.18,100,25.05,58.33,43.85,100,1,3,"Strong direct alignment with the candidate's education, skills, and professional experience.",0.741840325
Candidate_009,Office Administrator,2,53.74,54.95,26.66,39.82,52.86,100,1,1,Some transferable skills are present,0.537425822
Candidate_009,"Driver, Truck",3,52,47.6,8.22,21.66,88.8,100,1,1,Some transferable skills are present,0.520014791
Candidate_009,Software Developer,4,49.34,27.87,100,100,22.91,0,0,0,No meaningful connection,0.493365832
Candidate_009,Information Technology (IT) Analyst,5,45.87,41.56,52.31,74.27,26.64,0,0,1,Some transferable skills are present,0.458677626
Candidate_009,Bookkeeper,6,45.29,43.67,27.96,40.08,29.92,100,0,1,Some transferable skills are present,0.452936925
Candidate_009,Delivery Driver,7,35.37,48.51,35.36,2.79,37.05,100,0,1,Some transferable skills are present,0.353673156
Candidate_009,Office Manager,8,35.01,39.03,39.78,30.8,52.86,0,0,1,Some transferable skills are present,0.35012067
Candidate_009,Inside Sales Representative,9,31.39,11.46,20.11,28.84,86.44,0,0,0,No meaningful connection,0.313930362
Candidate_009,Retail Sales Associate,10,29.87,11.46,20.05,24.48,86.44,0,0,0,No meaningful connection,0.29867853
Candidate_009,Continuing Care Assistant,11,29.77,18.04,0,41.91,43.96,0,0,0,No meaningful connection,0.297742816
Candidate_009,Secondary School Teacher,12,28.48,19.62,23.2,40.99,36.36,0,0,0,No meaningful connection,0.284839875
Candidate_009,Food Service Supervisor,13,25.95,0,42.1,35.1,68.33,0,0,0,No meaningful connection,0.259531878
Candidate_009,Restaurant Manager,14,21.16,8.19,12.48,18.76,58.65,0,0,0,No meaningful connection,0.211627602
Candidate_009,Licensed Practical Nurse (L.P.N.),15,7.31,3.53,17.79,0,30.39,0,0,0,No meaningful connection,0.073127125
Candidate_010,Food Service Supervisor,1,72.11,92.66,9.89,45.75,68.33,100,1,3,"Strong direct alignment with the candidate's education, skills, and professional experience.",0.721098743
Candidate_010,Office Manager,2,71.83,100,20.37,46.46,52.86,100,1,3,"Strong direct alignment with the candidate's education, skills, and professional experience.",0.718328404
Candidate_010,Administrative Assistant,3,70.33,89.8,18.33,57.52,43.85,100,1,3,"Strong direct alignment with the candidate's education, skills, and professional experience.",0.703311129
Candidate_010,Office Administrator,4,59,85.64,15.9,52.73,52.86,0,1,3,"Strong direct alignment with the candidate's education, skills, and professional experience.",0.590013633
Candidate_010,Retail Sales Associate,5,57.62,87.61,8.98,27.62,86.44,0,1,3,"Strong direct alignment with the candidate's education, skills, and professional experience.",0.576187566
Candidate_010,Inside Sales Representative,6,57.31,87.61,9.01,26.74,86.44,0,1,3,"Strong direct alignment with the candidate's education, skills, and professional experience.",0.573105628
Candidate_010,"Driver, Truck",7,50.63,77.16,8.22,16.74,88.8,0,1,2,"Reasonable career option with several relevant transferable skills, but alignment is not direct.",0.506255073
Candidate_010,Bookkeeper,8,48.81,77.04,28.32,45.32,29.92,0,1,2,"Reasonable career option with several relevant transferable skills, but alignment is not direct.",0.48811115
Candidate_010,Software Developer,9,45.53,17,54.08,100,22.91,0,0,0,No meaningful connection,0.455333349
Candidate_010,Information Technology (IT) Analyst,10,43.61,22.78,100,86.58,26.64,0,0,1,Some transferable skills are present,0.436068284
Candidate_010,Restaurant Manager,11,41.21,56.36,5.59,27.87,58.65,0,1,1,Some transferable skills are present,0.412109796
Candidate_010,Secondary School Teacher,12,39.79,43.12,6.94,49.79,36.36,0,0,1,Some transferable skills are present,0.397913264
Candidate_010,Continuing Care Assistant,13,36.79,38.91,0,41.09,43.96,0,0,1,Some transferable skills are present,0.367937904
Candidate_010,Delivery Driver,14,31.51,68.85,14.59,0,37.05,0,1,2,"Reasonable career option with several relevant transferable skills, but alignment is not direct.",0.315071489
Candidate_010,Licensed Practical Nurse (L.P.N.),15,15.31,0,7.97,26.37,30.39,0,0,0,No meaningful connection,0.153089457
Candidate_011,Office Manager,1,71.74,100,62.7,46.19,52.86,100,1,3,"Strong direct alignment with the candidate's education, skills, and professional experience.",0.717399522
Candidate_011,Software Developer,2,64.5,42.61,100,100,22.91,100,0,1,Some transferable skills are present,0.644950976
Candidate_011,Office Administrator,3,61.52,63.89,44,53.09,52.86,100,1,2,"Reasonable career option with several relevant transferable skills, but alignment is not direct.",0.615170207
Candidate_011,"Driver, Truck",4,59.57,71.43,16.56,19.46,88.8,100,1,2,"Reasonable career option with several relevant transferable skills, but alignment is not direct.",0.595734805
Candidate_011,Secondary School Teacher,5,56.29,63.7,48.24,47.77,36.36,100,1,2,"Reasonable career option with several relevant transferable skills, but alignment is not direct.",0.562879383
Candidate_011,Food Service Supervisor,6,43.26,21.95,45.51,62.61,68.33,0,0,0,No meaningful connection,0.432648091
Candidate_011,Information Technology (IT) Analyst,7,43.12,33.6,62.61,74.37,26.64,0,0,1,Some transferable skills are present,0.431182796
Candidate_011,Administrative Assistant,8,41.45,33.36,51.4,60.01,43.85,0,0,1,Some transferable skills are present,0.414493469
Candidate_011,Restaurant Manager,9,33.26,23.66,25.15,37.87,58.65,0,0,0,No meaningful connection,0.332648522
Candidate_011,Bookkeeper,10,26.4,1.4,45.19,56.93,29.92,0,0,0,No meaningful connection,0.263975871
Candidate_011,Continuing Care Assistant,11,26.08,12.35,0,37.03,43.96,0,0,0,No meaningful connection,0.260766706
Candidate_011,Inside Sales Representative,12,23.25,0.57,40.53,16.47,86.44,0,0,0,No meaningful connection,0.232510543
Candidate_011,Retail Sales Associate,13,22.25,0.57,40.41,13.6,86.44,0,0,0,No meaningful connection,0.222457384
Candidate_011,Delivery Driver,14,16.22,25.16,66.15,0,37.05,0,0,0,No meaningful connection,0.162167484
Candidate_011,Licensed Practical Nurse (L.P.N.),15,11.03,0,35.85,14.15,30.39,0,0,0,No meaningful connection,0.110306591
Candidate_012,Software Developer,1,84.58,100,38.55,100,22.91,100,1,3,"Strong direct alignment with the candidate's education, skills, and professional experience.",0.845817172
Candidate_012,Information Technology (IT) Analyst,2,77.06,78.79,100,97.59,26.64,100,1,2,"Reasonable career option with several relevant transferable skills, but alignment is not direct.",0.770607672
Candidate_012,Secondary School Teacher,3,63.59,87.07,5.79,45.26,36.36,100,1,3,"Strong direct alignment with the candidate's education, skills, and professional experience.",0.635899331
Candidate_012,Restaurant Manager,4,56.83,81.33,0,18.97,58.65,100,1,3,"Strong direct alignment with the candidate's education, skills, and professional experience.",0.568340288
Candidate_012,Food Service Supervisor,5,54.22,63.75,1.59,52.13,68.33,0,1,2,"Reasonable career option with several relevant transferable skills, but alignment is not direct.",0.542231874
Candidate_012,Licensed Practical Nurse (L.P.N.),6,53.17,91.61,2.54,14.36,30.39,100,1,3,"Strong direct alignment with the candidate's education, skills, and professional experience.",0.531679504
Candidate_012,Office Manager,7,49.63,69.6,5.34,42.01,52.86,0,1,2,"Reasonable career option with several relevant transferable skills, but alignment is not direct.",0.496340073
Candidate_012,Bookkeeper,8,47.46,72.15,22.68,46.37,29.92,0,1,2,"Reasonable career option with several relevant transferable skills, but alignment is not direct.",0.474645537
Candidate_012,Office Administrator,9,46.68,55.57,3.59,47.59,52.86,0,1,1,Some transferable skills are present,0.466808301
Candidate_012,"Driver, Truck",10,46.46,65.12,1.83,16.87,88.8,0,1,2,"Reasonable career option with several relevant transferable skills, but alignment is not direct.",0.464583231
Candidate_012,Retail Sales Associate,11,41.97,38.13,3.62,32.38,86.44,0,0,1,Some transferable skills are present,0.419663904
Candidate_012,Inside Sales Representative,12,41.76,38.13,3.65,31.79,86.44,0,0,1,Some transferable skills are present,0.417590345
Candidate_012,Continuing Care Assistant,13,38.79,54.02,3.2,31.7,43.96,0,1,1,Some transferable skills are present,0.387942253
Candidate_012,Administrative Assistant,14,27.35,0,40.97,53.08,43.85,0,0,0,No meaningful connection,0.273474411
Candidate_012,Delivery Driver,15,26.88,55.63,9.66,0,37.05,0,1,1,Some transferable skills are present,0.268811538
Candidate_013,Software Developer,1,84.58,100,100,100,22.91,100,1,3,"Strong direct alignment with the candidate's education, skills, and professional experience.",0.845817172
Candidate_013,Secondary School Teacher,2,64.2,82.18,34.1,51.9,36.36,100,1,3,"Strong direct alignment with the candidate's education, skills, and professional experience.",0.642007869
Candidate_013,Office Manager,3,64.19,92.47,16.36,32.14,52.86,100,1,3,"Strong direct alignment with the candidate's education, skills, and professional experience.",0.64185499
Candidate_013,Office Administrator,4,61,75.19,9.61,40.31,52.86,100,1,2,"Reasonable career option with several relevant transferable skills, but alignment is not direct.",0.609965377
Candidate_013,Bookkeeper,5,58.68,92.61,37.94,29.38,29.92,100,1,3,"Strong direct alignment with the candidate's education, skills, and professional experience.",0.586785688
Candidate_013,Information Technology (IT) Analyst,6,57.21,64.25,77.57,83.99,26.64,0,1,2,"Reasonable career option with several relevant transferable skills, but alignment is not direct.",0.572125082
Candidate_013,Food Service Supervisor,7,48.07,59.55,18.05,38.74,68.33,0,1,1,Some transferable skills are present,0.480712536
Candidate_013,Inside Sales Representative,8,48.06,55.77,22.97,32.15,86.44,0,1,1,Some transferable skills are present,0.480610712
Candidate_013,Retail Sales Associate,9,46.92,55.77,22.91,28.9,86.44,0,1,1,Some transferable skills are present,0.469247705
Candidate_013,Restaurant Manager,10,40.44,66.45,14.26,15.58,58.65,0,1,2,"Reasonable career option with several relevant transferable skills, but alignment is not direct.",0.404382137
Candidate_013,"Driver, Truck",11,40.08,51.23,9.39,12.55,88.8,0,1,1,Some transferable skills are present,0.400841946
Candidate_013,Licensed Practical Nurse (L.P.N.),12,31.3,43.67,20.32,28.41,30.39,0,0,1,Some transferable skills are present,0.313044012
Candidate_013,Continuing Care Assistant,13,30.5,21.38,0,40.64,43.96,0,0,0,,0.304996645
Candidate_013,Administrative Assistant,14,25.71,0,32.83,48.39,43.85,0,0,0,,0.257060628
Candidate_013,Delivery Driver,15,19.4,34.27,43.14,0,37.05,0,0,0,,0.194048281
Candidate_014,Software Developer,1,84.58,100,100,100,22.91,100,1,3,"Strong direct alignment with the candidate's education, skills, and professional experience.",0.845817172
Candidate_014,Information Technology (IT) Analyst,2,71.8,74.9,62.84,86.45,26.64,100,1,2,"Reasonable career option with several relevant transferable skills, but alignment is not direct.",0.718004645
Candidate_014,Secondary School Teacher,3,58.7,75.27,23.39,43.09,36.36,100,1,2,"Reasonable career option with several relevant transferable skills, but alignment is not direct.",0.586954426
Candidate_014,Bookkeeper,4,49.91,63.86,29.26,33.09,29.92,100,1,2,"Reasonable career option with several relevant transferable skills, but alignment is not direct.",0.499149137
Candidate_014,Licensed Practical Nurse (L.P.N.),5,49.39,74.18,19.91,20.98,30.39,100,1,2,"Reasonable career option with several relevant transferable skills, but alignment is not direct.",0.493852305
Candidate_014,Office Administrator,6,47.11,48.59,34.35,55.8,52.86,0,1,2,"Reasonable career option with several relevant transferable skills, but alignment is not direct.",0.47109059
Candidate_014,Office Manager,7,42.41,51.7,44.06,39.27,52.86,0,1,1,Some transferable skills are present,0.424104712
Candidate_014,Inside Sales Representative,8,38.88,35.57,22.5,26.13,86.44,0,0,1,Some transferable skills are present,0.388804982
Candidate_014,Continuing Care Assistant,9,37.8,39.96,0,42.91,43.96,0,0,1,Some transferable skills are present,0.377964285
Candidate_014,Retail Sales Associate,10,36.75,35.57,22.44,20.04,86.44,0,0,1,Some transferable skills are present,0.367524553
Candidate_014,Food Service Supervisor,11,34.43,35.25,17.68,24.06,68.33,0,0,1,Some transferable skills are present,0.344256492
Candidate_014,"Driver, Truck",12,33.79,38.26,58.49,7.53,88.8,0,0,1,Some transferable skills are present,0.337889039
Candidate_014,Restaurant Manager,13,32.24,58.59,13.96,0,58.65,0,1,1,Some transferable skills are present,0.322377962
Candidate_014,Administrative Assistant,14,31.21,0,33.85,64.1,43.85,0,0,0,No meaningful connection,0.312056457
