candidate_id,selected_occupation,skill,candidate_evidence,skill_present,gap_status,importance,level,system_gap,human_gap,human_gap_severity,expert_rating,reviewer_notes,final_hybrid_percentage,onet_soc_code,onet_gap_priority,skill_gap_priority
Candidate_005,Software Developer,Active Listening,0,0,Missing,3.38,3.88,1,1,5,5,Skills found,84.58,15-1252.00,0.726,0.726
Candidate_005,Software Developer,Critical Thinking,1,1,Existing,3.88,4.12,0,0,0,5,Skills found,84.58,15-1252.00,0.8,0
Candidate_005,Software Developer,Learning Strategies,1,1,Existing,2.62,3.12,0,0,0,5,Skills found,84.58,15-1252.00,0.574,0
Candidate_005,Software Developer,Mathematics,1,1,Existing,2.75,3.25,0,0,0,1,Skills found,84.58,15-1252.00,0.6,0
Candidate_005,Software Developer,Monitoring,0,0,Missing,3,3.5,1,1,3,5,Skills found,84.58,15-1252.00,0.65,0.65
Candidate_005,Software Developer,Reading Comprehension,1,1,Existing,3.5,4.25,0,0,0,5,Skills found,84.58,15-1252.00,0.775,0
Candidate_005,Software Developer,Science,0,0,Missing,2.12,1.88,1,1,5,5,Skills found,84.58,15-1252.00,0.4,0.4
Candidate_005,Software Developer,Speaking,0,0,Missing,3.12,3.62,1,1,3,5,Skills found,84.58,15-1252.00,0.674,0.674
Candidate_005,Software Developer,Writing,0,0,Missing,3.25,3.62,1,0,0,5,Skills found,84.58,15-1252.00,0.687,0.687
Candidate_006,Software Developer,Active Learning,1,1,Existing,3.5,3.62,0,0,0,5,Skills found,84.58,15-1252.00,0.712,0
Candidate_006,Software Developer,Active Listening,1,1,Existing,3.38,3.88,0,1,5,5,Skills found,84.58,15-1252.00,0.726,0
Candidate_006,Software Developer,Critical Thinking,1,1,Existing,3.88,4.12,0,0,0,5,Skills found,84.58,15-1252.00,0.8,0
Candidate_006,Software Developer,Learning Strategies,1,1,Existing,2.62,3.12,0,0,0,5,Skills found,84.58,15-1252.00,0.574,0
Candidate_006,Software Developer,Mathematics,1,1,Existing,2.75,3.25,0,0,0,5,Skills found,84.58,15-1252.00,0.6,0
Candidate_006,Software Developer,Monitoring,0,0,Missing,3,3.5,1,1,3,5,Skills found,84.58,15-1252.00,0.65,0.65
Candidate_006,Software Developer,Reading Comprehension,1,1,Existing,3.5,4.25,0,0,0,5,Skills found,84.58,15-1252.00,0.775,0
Candidate_006,Software Developer,Science,1,1,Existing,2.12,1.88,0,0,0,5,Skills found,84.58,15-1252.00,0.4,0
Candidate_006,Software Developer,Speaking,1,1,Existing,3.12,3.62,0,1,3,5,Skills found,84.58,15-1252.00,0.674,0
Candidate_006,Software Developer,Writing,1,1,Existing,3.25,3.62,0,0,0,5,Skills found,84.58,15-1252.00,0.687,0
Candidate_007,Food Service Supervisor,Active Learning,1,1,Existing,3,3.12,0,0,0,5,Skills found,74.31,35-1012.00,0.612,0
Candidate_007,Food Service Supervisor,Active Listening,1,1,Existing,3.75,3,0,0,0,5,Skills found,74.31,35-1012.00,0.675,0
Candidate_007,Food Service Supervisor,Critical Thinking,1,1,Existing,3.12,3.75,0,0,0,5,Skills found,74.31,35-1012.00,0.687,0
Candidate_007,Food Service Supervisor,Learning Strategies,1,1,Existing,3.12,3.12,0,0,0,5,Skills found,74.31,35-1012.00,0.624,0
Candidate_007,Food Service Supervisor,Mathematics,1,1,Existing,3,3,0,0,0,5,Skills found,74.31,35-1012.00,0.6,0
Candidate_007,Food Service Supervisor,Monitoring,1,1,Existing,3.88,4,0,0,0,5,Skills found,74.31,35-1012.00,0.788,0
Candidate_007,Food Service Supervisor,Reading Comprehension,1,1,Existing,3.25,3.62,0,0,0,5,Skills found,74.31,35-1012.00,0.687,0
Candidate_007,Food Service Supervisor,Science,1,1,Existing,1,0,0,1,5,1,Skills not  found,74.31,35-1012.00,0.1,0
Candidate_007,Food Service Supervisor,Speaking,1,1,Existing,3.88,4,0,0,0,5,Skills found,74.31,35-1012.00,0.788,0
Candidate_007,Food Service Supervisor,Writing,1,1,Existing,3,3.12,0,0,0,5,Skills found,74.31,35-1012.00,0.612,0
Candidate_008,Software Developer,Active Learning,1,1,Existing,3.5,3.62,0,0,0,5,Skills found,84.58,15-1252.00,0.712,0
Candidate_008,Software Developer,Active Listening,0,0,Missing,3.38,3.88,1,1,5,5,Skills not found,84.58,15-1252.00,0.726,0.726
Candidate_008,Software Developer,Critical Thinking,1,1,Existing,3.88,4.12,0,0,0,5,Skills found,84.58,15-1252.00,0.8,0
Candidate_008,Software Developer,Learning Strategies,1,1,Existing,2.62,3.12,0,0,0,5,Skills found,84.58,15-1252.00,0.574,0
Candidate_008,Software Developer,Mathematics,1,1,Existing,2.75,3.25,0,0,0,5,Skills found,84.58,15-1252.00,0.6,0
Candidate_008,Software Developer,Monitoring,1,1,Existing,3,3.5,0,1,3,5,Skills not  found,84.58,15-1252.00,0.65,0
Candidate_008,Software Developer,Reading Comprehension,1,1,Existing,3.5,4.25,0,0,0,5,Skills found,84.58,15-1252.00,0.775,0
Candidate_008,Software Developer,Science,1,1,Existing,2.12,1.88,0,0,0,5,Skills found,84.58,15-1252.00,0.4,0
Candidate_008,Software Developer,Speaking,0,0,Missing,3.12,3.62,1,1,3,5,Skills not  found,84.58,15-1252.00,0.674,0.674
Candidate_008,Software Developer,Writing,0,0,Missing,3.25,3.62,1,0,0,5,Skills found,84.58,15-1252.00,0.687,0.687
Candidate_009,Administrative Assistant,Active Learning,0,0,Missing,2.88,3,1,0,0,5,Skills found,74.18,43-6014.00,0.588,0.588
Candidate_009,Administrative Assistant,Active Listening,0,0,Missing,4,3.75,1,0,0,5,Skills found,74.18,43-6014.00,0.775,0.775
Candidate_009,Administrative Assistant,Critical Thinking,0,0,Missing,3,3.62,1,0,0,5,Skills found,74.18,43-6014.00,0.662,0.662
Candidate_009,Administrative Assistant,Learning Strategies,0,0,Missing,2.12,1.88,1,1,4,5,Skills not found,74.18,43-6014.00,0.4,0.4
Candidate_009,Administrative Assistant,Mathematics,0,0,Missing,2,1.62,1,1,3,5,Skills not found,74.18,43-6014.00,0.362,0.362
Candidate_009,Administrative Assistant,Monitoring,0,0,Missing,3.12,3.25,1,0,0,5,Skills found,74.18,43-6014.00,0.637,0.637
Candidate_009,Administrative Assistant,Reading Comprehension,1,1,Existing,3.88,3.88,0,0,0,5,Skills found,74.18,43-6014.00,0.776,0
Candidate_009,Administrative Assistant,Science,0,0,Missing,1,0,1,1,5,5,Skills found,74.18,43-6014.00,0.1,0.1
Candidate_009,Administrative Assistant,Speaking,0,0,Missing,4,3.62,1,0,0,5,Skills found,74.18,43-6014.00,0.762,0.762
Candidate_009,Administrative Assistant,Writing,1,1,Existing,3.75,3.5,0,0,0,5,Skills found,74.18,43-6014.00,0.725,0
Candidate_010,Food Service Supervisor,Active Learning,1,1,Existing,3,3.12,0,0,0,5,Skills found,72.11,35-1012.00,0.612,0
Candidate_010,Food Service Supervisor,Active Listening,1,1,Existing,3.75,3,0,0,0,5,Skills found,72.11,35-1012.00,0.675,0
Candidate_010,Food Service Supervisor,Critical Thinking,1,1,Existing,3.12,3.75,0,0,0,5,Skills found,72.11,35-1012.00,0.687,0
Candidate_010,Food Service Supervisor,Learning Strategies,1,1,Existing,3.12,3.12,0,0,0,5,Skills found,72.11,35-1012.00,0.624,0
Candidate_010,Food Service Supervisor,Mathematics,1,1,Existing,3,3,0,0,0,5,Skills found,72.11,35-1012.00,0.6,0
Candidate_010,Food Service Supervisor,Monitoring,1,1,Existing,3.88,4,0,0,0,5,Skills found,72.11,35-1012.00,0.788,0
Candidate_010,Food Service Supervisor,Reading Comprehension,1,1,Existing,3.25,3.62,0,0,0,5,Skills found,72.11,35-1012.00,0.687,0
Candidate_010,Food Service Supervisor,Science,0,0,Missing,1,0,1,1,5,1,Skills not  found,72.11,35-1012.00,0.1,0.1
Candidate_010,Food Service Supervisor,Speaking,1,1,Existing,3.88,4,0,0,0,5,Skills found,72.11,35-1012.00,0.788,0
Candidate_010,Food Service Supervisor,Writing,1,1,Existing,3,3.12,0,0,0,5,Skills found,72.11,35-1012.00,0.612,0
Candidate_011,Office Manager,Active Learning,1,1,Existing,3.75,3.75,0,0,0,5,Skills found,71.74,43-1011.00,0.75,0
Candidate_011,Office Manager,Active Listening,0,0,Missing,4,3.88,1,0,0,5,Skills found,71.74,43-1011.00,0.788,0.788
Candidate_011,Office Manager,Critical Thinking,1,1,Existing,3.88,3.88,0,0,0,5,Skills found,71.74,43-1011.00,0.776,0
Candidate_011,Office Manager,Learning Strategies,1,1,Existing,3.62,3.75,0,0,0,5,Skills found,71.74,43-1011.00,0.737,0
Candidate_011,Office Manager,Mathematics,0,0,Missing,2.75,2.75,1,0,0,5,Skills found,71.74,43-1011.00,0.55,0.55
Candidate_011,Office Manager,Monitoring,1,1,Existing,4,4,0,0,0,5,Skills found,71.74,43-1011.00,0.8,0
Candidate_011,Office Manager,Reading Comprehension,1,1,Existing,4,3.75,0,0,0,5,Skills found,71.74,43-1011.00,0.775,0
Candidate_011,Office Manager,Science,0,0,Missing,1,0,1,1,5,1,Skills not  found,71.74,43-1011.00,0.1,0.1
Candidate_011,Office Manager,Speaking,0,0,Missing,4,4,1,0,0,5,Skills found,71.74,43-1011.00,0.8,0.8
Candidate_011,Office Manager,Writing,1,1,Existing,3.75,3.75,0,0,0,5,Skills found,71.74,43-1011.00,0.75,0
Candidate_012,Software Developer,Active Learning,1,1,Existing,3.5,3.62,0,0,0,5,"Learning new frameworks, languages, technologies",84.58,15-1252.00,0.712,0
Candidate_012,Software Developer,Active Listening,0,0,Missing,3.38,3.88,1,1,5,5,Understanding requirements and team discussions,84.58,15-1252.00,0.726,0.726
Candidate_012,Software Developer,Critical Thinking,1,1,Existing,3.88,4.12,0,0,0,5,Debugging and evaluating technical solutions,84.58,15-1252.00,0.8,0
Candidate_012,Software Developer,Learning Strategies,1,1,Existing,2.62,3.12,0,0,0,5,Learning unfamiliar technologies efficiently,84.58,15-1252.00,0.574,0
Candidate_012,Software Developer,Mathematics,1,1,Existing,2.75,3.25,0,0,0,5,"Algorithms, logic, calculations depending on role",84.58,15-1252.00,0.6,0
Candidate_012,Software Developer,Monitoring,1,1,Existing,3,3.5,0,1,3,5,"Monitoring applications, tests, performance and results",84.58,15-1252.00,0.65,0
Candidate_012,Software Developer,Reading Comprehension,1,1,Existing,3.5,4.25,0,0,0,5,Skills found,84.58,15-1252.00,0.775,0
Candidate_012,Software Developer,Science,1,1,Existing,2.12,1.88,0,0,0,5,No Skills,84.58,15-1252.00,0.4,0
Candidate_012,Software Developer,Speaking,0,0,Missing,3.12,3.62,1,1,3,5,Explaining technical issues and collaborating,84.58,15-1252.00,0.674,0.674
Candidate_012,Software Developer,Writing,0,0,Missing,3.25,3.62,1,0,0,5,Skills found,84.58,15-1252.00,0.687,0.687
Candidate_013,Software Developer,Active Learning,1,1,Existing,3.5,3.62,0,0,0,5,"Learning new frameworks, languages, technologies",84.58,15-1252.00,0.712,0
Candidate_013,Software Developer,Active Listening,0,0,Missing,3.38,3.88,1,1,5,5,Understanding requirements and team discussions,84.58,15-1252.00,0.726,0.726
Candidate_013,Software Developer,Critical Thinking,1,1,Existing,3.88,4.12,0,0,0,5,Debugging and evaluating technical solutions,84.58,15-1252.00,0.8,0
Candidate_013,Software Developer,Learning Strategies,1,1,Existing,2.62,3.12,0,0,0,5,Learning unfamiliar technologies efficiently,84.58,15-1252.00,0.574,0
Candidate_013,Software Developer,Mathematics,1,1,Existing,2.75,3.25,0,0,0,5,"Algorithms, logic, calculations depending on role",84.58,15-1252.00,0.6,0
Candidate_013,Software Developer,Monitoring,0,0,Missing,3,3.5,1,1,3,5,"Monitoring applications, tests, performance and results",84.58,15-1252.00,0.65,0.65
Candidate_013,Software Developer,Reading Comprehension,1,1,Existing,3.5,4.25,0,0,0,5,Skills found,84.58,15-1252.00,0.775,0
Candidate_013,Software Developer,Science,0,0,Missing,2.12,1.88,1,0,0,5,No Skills,84.58,15-1252.00,0.4,0.4
Candidate_013,Software Developer,Speaking,0,0,Missing,3.12,3.62,1,1,3,5,Explaining technical issues and collaborating,84.58,15-1252.00,0.674,0.674
Candidate_013,Software Developer,Writing,0,0,Missing,3.25,3.62,1,0,0,5,Skills found,84.58,15-1252.00,0.687,0.687
Candidate_014,Software Developer,Active Learning,1,1,Existing,3.5,3.62,0,0,0,5,"Learning new frameworks, languages, technologies",84.58,15-1252.00,0.712,0
Candidate_014,Software Developer,Active Listening,0,0,Missing,3.38,3.88,1,1,5,5,Understanding requirements and team discussions,84.58,15-1252.00,0.726,0.726
Candidate_014,Software Developer,Critical Thinking,1,1,Existing,3.88,4.12,0,0,0,5,Debugging and evaluating technical solutions,84.58,15-1252.00,0.8,0
Candidate_014,Software Developer,Learning Strategies,1,1,Existing,2.62,3.12,0,0,0,5,Learning unfamiliar technologies efficiently,84.58,15-1252.00,0.574,0
Candidate_014,Software Developer,Mathematics,1,1,Existing,2.75,3.25,0,0,0,5,"Algorithms, logic, calculations depending on role",84.58,15-1252.00,0.6,0
Candidate_014,Software Developer,Monitoring,0,0,Missing,3,3.5,1,1,3,5,"Monitoring applications, tests, performance and results",84.58,15-1252.00,0.65,0.65
Candidate_014,Software Developer,Reading Comprehension,1,1,Existing,3.5,4.25,0,0,0,5,Skills found,84.58,15-1252.00,0.775,0
Candidate_014,Software Developer,Science,1,1,Existing,2.12,1.88,0,0,0,5,No Skills,84.58,15-1252.00,0.4,0
Candidate_014,Software Developer,Speaking,0,0,Missing,3.12,3.62,1,1,3,5,Explaining technical issues and collaborating,84.58,15-1252.00,0.674,0.674
Candidate_014,Software Developer,Writing,0,0,Missing,3.25,3.62,1,0,0,5,Skills found,84.58,15-1252.00,0.687,0.687
Candidate_015,Food Service Supervisor,Active Learning,1,1,Existing,3,3.12,0,0,0,5,Skills found,75.75,35-1012.00,0.612,0
Candidate_015,Food Service Supervisor,Active Listening,1,1,Existing,3.75,3,0,0,0,5,Skills found,75.75,35-1012.00,0.675,0
Candidate_015,Food Service Supervisor,Critical Thinking,1,1,Existing,3.12,3.75,0,0,0,5,Skills found,75.75,35-1012.00,0.687,0
Candidate_015,Food Service Supervisor,Learning Strategies,1,1,Existing,3.12,3.12,0,0,0,5,Skills found,75.75,35-1012.00,0.624,0
Candidate_015,Food Service Supervisor,Mathematics,1,1,Existing,3,3,0,0,0,5,Skills found,75.75,35-1012.00,0.6,0
Candidate_015,Food Service Supervisor,Monitoring,1,1,Existing,3.88,4,0,0,0,5,Skills found,75.75,35-1012.00,0.788,0
Candidate_015,Food Service Supervisor,Reading Comprehension,1,1,Existing,3.25,3.62,0,0,0,5,Skills found,75.75,35-1012.00,0.687,0
Candidate_015,Food Service Supervisor,Science,1,1,Existing,1,0,0,1,5,1,Skills not  found,75.75,35-1012.00,0.1,0
Candidate_015,Food Service Supervisor,Speaking,1,1,Existing,3.88,4,0,0,0,5,Skills found,75.75,35-1012.00,0.788,0
Candidate_015,Food Service Supervisor,Writing,1,1,Existing,3,3.12,0,0,0,5,Skills found,75.75,35-1012.00,0.612,0
Candidate_016,Software Developer,Active Learning,1,1,Existing,3.5,3.62,0,0,0,5,"Learning new frameworks, languages, technologies",84.58,15-1252.00,0.712,0
Candidate_016,Software Developer,Active Listening,1,1,Existing,3.38,3.88,0,1,5,5,Understanding requirements and team discussions,84.58,15-1252.00,0.726,0
Candidate_016,Software Developer,Critical Thinking,1,1,Existing,3.88,4.12,0,0,0,5,Debugging and evaluating technical solutions,84.58,15-1252.00,0.8,0
Candidate_016,Software Developer,Learning Strategies,1,1,Existing,2.62,3.12,0,0,0,5,Learning unfamiliar technologies efficiently,84.58,15-1252.00,0.574,0
Candidate_016,Software Developer,Mathematics,1,1,Existing,2.75,3.25,0,0,0,5,"Algorithms, logic, calculations depending on role",84.58,15-1252.00,0.6,0
Candidate_016,Software Developer,Monitoring,0,0,Missing,3,3.5,1,1,3,5,"Monitoring applications, tests, performance and results",84.58,15-1252.00,0.65,0.65
Candidate_016,Software Developer,Reading Comprehension,1,1,Existing,3.5,4.25,0,0,0,5,Skills found,84.58,15-1252.00,0.775,0
Candidate_016,Software Developer,Science,1,1,Existing,2.12,1.88,0,0,0,5,No Skills,84.58,15-1252.00,0.4,0
Candidate_016,Software Developer,Speaking,1,1,Existing,3.12,3.62,0,1,3,5,Explaining technical issues and collaborating,84.58,15-1252.00,0.674,0
Candidate_016,Software Developer,Writing,0,0,Missing,3.25,3.62,1,0,0,5,Skills found,84.58,15-1252.00,0.687,0.687
Candidate_017,Administrative Assistant,Active Learning,1,1,Existing,2.88,3,0,0,0,5,Skills found,70.25,43-6014.00,0.588,0
Candidate_017,Administrative Assistant,Active Listening,1,1,Existing,4,3.75,0,0,0,5,Skills found,70.25,43-6014.00,0.775,0
Candidate_017,Administrative Assistant,Critical Thinking,1,1,Existing,3,3.62,0,0,0,5,Skills found,70.25,43-6014.00,0.662,0
Candidate_017,Administrative Assistant,Learning Strategies,1,1,Existing,2.12,1.88,0,1,4,5,Skills not found,70.25,43-6014.00,0.4,0
Candidate_017,Administrative Assistant,Mathematics,1,1,Existing,2,1.62,0,1,3,5,Skills not found,70.25,43-6014.00,0.362,0
Candidate_017,Administrative Assistant,Monitoring,0,0,Missing,3.12,3.25,1,0,0,5,Skills found,70.25,43-6014.00,0.637,0.637
Candidate_017,Administrative Assistant,Reading Comprehension,1,1,Existing,3.88,3.88,0,0,0,5,Skills found,70.25,43-6014.00,0.776,0
Candidate_017,Administrative Assistant,Science,0,0,Missing,1,0,1,1,5,5,Skills found,70.25,43-6014.00,0.1,0.1
Candidate_017,Administrative Assistant,Speaking,1,1,Existing,4,3.62,0,0,0,5,Skills found,70.25,43-6014.00,0.762,0
Candidate_017,Administrative Assistant,Writing,1,1,Existing,3.75,3.5,0,0,0,5,Skills found,70.25,43-6014.00,0.725,0
Candidate_018,Food Service Supervisor,Active Learning,1,1,Existing,3,3.12,0,0,0,5,Skills found,78.54,35-1012.00,0.612,0
Candidate_018,Food Service Supervisor,Active Listening,1,1,Existing,3.75,3,0,0,0,5,Skills found,78.54,35-1012.00,0.675,0
Candidate_018,Food Service Supervisor,Critical Thinking,1,1,Existing,3.12,3.75,0,0,0,5,Skills found,78.54,35-1012.00,0.687,0
Candidate_018,Food Service Supervisor,Learning Strategies,1,1,Existing,3.12,3.12,0,0,0,5,Skills found,78.54,35-1012.00,0.624,0
Candidate_018,Food Service Supervisor,Mathematics,1,1,Existing,3,3,0,0,0,5,Skills found,78.54,35-1012.00,0.6,0
Candidate_018,Food Service Supervisor,Monitoring,1,1,Existing,3.88,4,0,0,0,5,Skills found,78.54,35-1012.00,0.788,0
Candidate_018,Food Service Supervisor,Reading Comprehension,1,1,Existing,3.25,3.62,0,0,0,5,Skills found,78.54,35-1012.00,0.687,0
Candidate_018,Food Service Supervisor,Science,1,1,Existing,1,0,0,1,5,1,Skills not  found,78.54,35-1012.00,0.1,0
Candidate_018,Food Service Supervisor,Speaking,1,1,Existing,3.88,4,0,0,0,5,Skills found,78.54,35-1012.00,0.788,0
Candidate_018,Food Service Supervisor,Writing,1,1,Existing,3,3.12,0,0,0,5,Skills found,78.54,35-1012.00,0.612,0
Candidate_019,Office Manager,Active Learning,1,1,Existing,3.75,3.75,0,0,0,5,Skills found,72.11,43-1011.00,0.75,0
Candidate_019,Office Manager,Active Listening,0,0,Missing,4,3.88,1,0,0,5,Skills found,72.11,43-1011.00,0.788,0.788
Candidate_019,Office Manager,Critical Thinking,1,1,Existing,3.88,3.88,0,0,0,5,Skills found,72.11,43-1011.00,0.776,0
Candidate_019,Office Manager,Learning Strategies,1,1,Existing,3.62,3.75,0,0,0,5,Skills found,72.11,43-1011.00,0.737,0
Candidate_019,Office Manager,Mathematics,1,1,Existing,2.75,2.75,0,0,0,5,Skills found,72.11,43-1011.00,0.55,0
Candidate_019,Office Manager,Monitoring,1,1,Existing,4,4,0,0,0,5,Skills found,72.11,43-1011.00,0.8,0
Candidate_019,Office Manager,Reading Comprehension,1,1,Existing,4,3.75,0,0,0,5,Skills found,72.11,43-1011.00,0.775,0
Candidate_019,Office Manager,Science,0,0,Missing,1,0,1,1,5,1,Skills not  found,72.11,43-1011.00,0.1,0.1
Candidate_019,Office Manager,Speaking,0,0,Missing,4,4,1,0,0,5,Skills found,72.11,43-1011.00,0.8,0.8
Candidate_019,Office Manager,Writing,1,1,Existing,3.75,3.75,0,0,0,5,Skills found,72.11,43-1011.00,0.75,0
Candidate_020,Software Developer,Active Learning,1,1,Existing,3.5,3.62,0,0,0,5,"Learning new frameworks, languages, technologies",83.13,15-1252.00,0.712,0
Candidate_020,Software Developer,Active Listening,0,0,Missing,3.38,3.88,1,1,5,5,Understanding requirements and team discussions,83.13,15-1252.00,0.726,0.726
Candidate_020,Software Developer,Critical Thinking,1,1,Existing,3.88,4.12,0,0,0,5,Debugging and evaluating technical solutions,83.13,15-1252.00,0.8,0
Candidate_020,Software Developer,Learning Strategies,1,1,Existing,2.62,3.12,0,0,0,5,Learning unfamiliar technologies efficiently,83.13,15-1252.00,0.574,0
Candidate_020,Software Developer,Mathematics,1,1,Existing,2.75,3.25,0,0,0,5,"Algorithms, logic, calculations depending on role",83.13,15-1252.00,0.6,0
Candidate_020,Software Developer,Monitoring,0,0,Missing,3,3.5,1,1,3,5,"Monitoring applications, tests, performance and results",83.13,15-1252.00,0.65,0.65
Candidate_020,Software Developer,Reading Comprehension,1,1,Existing,3.5,4.25,0,0,0,5,Skills found,83.13,15-1252.00,0.775,0
Candidate_020,Software Developer,Science,0,0,Missing,2.12,1.88,1,0,0,5,No Skills,83.13,15-1252.00,0.4,0.4
Candidate_020,Software Developer,Speaking,0,0,Missing,3.12,3.62,1,1,3,5,Explaining technical issues and collaborating,83.13,15-1252.00,0.674,0.674
Candidate_020,Software Developer,Writing,1,1,Existing,3.25,3.62,0,0,0,5,Skills found,83.13,15-1252.00,0.687,0
