candidate_id,recommended_occupation,system_rank,final_hybrid_score,final_hybrid_percentage,skill_percentage,tfidf_percentage,semantic_percentage,demand_percentage,education_percentage,human_relevant,human_relevance_grade,reviewer_notes
Candidate_003,Office Administrator,3,0.6509644534327194,65.1,71.26,12.59,55.95,52.86,100.0,,,
Candidate_003,"Driver, Truck",4,0.5690717532392499,56.91,69.59,20.71,13.69,88.8,100.0,,,
Candidate_003,Inside Sales Representative,5,0.5016725733595636,50.17,58.38,50.69,35.56,86.44,0.0,,,
Candidate_003,Retail Sales Associate,6,0.490676498012354,49.07,58.38,50.54,32.42,86.44,0.0,,,
Candidate_003,Information Technology (IT) Analyst,7,0.4899560134275221,49.0,24.77,77.4,100.0,26.64,0.0,,,
Candidate_003,Food Service Supervisor,8,0.4408192654441453,44.08,52.29,50.53,34.61,68.33,0.0,,,
Candidate_003,Software Developer,9,0.4052898317850262,40.53,5.82,100.0,96.89,22.91,0.0,,,
Candidate_003,Secondary School Teacher,10,0.395767511730077,39.58,46.61,61.88,45.69,36.36,0.0,,,
Candidate_003,Continuing Care Assistant,11,0.371251377948512,37.13,46.9,0.0,34.05,43.96,0.0,,,
Candidate_003,Restaurant Manager,12,0.3128500175194634,31.29,38.12,31.46,17.75,58.65,0.0,,,
Candidate_003,Delivery Driver,13,0.2453085092432767,24.53,48.91,79.47,0.0,37.05,0.0,,,
Candidate_003,Bookkeeper,14,0.1729089595359964,17.29,0.98,49.39,31.32,29.92,0.0,,,
Candidate_003,Licensed Practical Nurse (L.P.N.),15,0.1362945599101625,13.63,0.0,44.85,21.57,30.39,0.0,,,
Candidate_004,Software Developer,1,0.8458171720921132,84.58,100.0,19.95,100.0,22.91,100.0,,,
Candidate_004,Information Technology (IT) Analyst,2,0.6992755023728969,69.93,74.24,100.0,81.76,26.64,100.0,,,
Candidate_004,Secondary School Teacher,3,0.571702112812933,57.17,76.52,6.69,37.48,36.36,100.0,,,
Candidate_004,Bookkeeper,4,0.5533414265204007,55.33,72.19,20.73,40.24,29.92,100.0,,,
Candidate_004,Licensed Practical Nurse (L.P.N.),5,0.4609505729240499,46.1,72.05,5.29,13.71,30.39,100.0,,,
Candidate_004,Office Manager,6,0.4608850536553628,46.09,64.44,13.53,37.03,52.86,0.0,,,
Candidate_004,Food Service Supervisor,7,0.4552385638826789,45.52,37.94,4.7,53.08,68.33,0.0,,,
Candidate_004,"Driver, Truck",8,0.4271678482284895,42.72,60.02,7.82,11.28,88.8,0.0,,,
Candidate_004,Office Administrator,9,0.4113891772965508,41.14,52.41,9.19,34.92,52.86,0.0,,,
Candidate_004,Restaurant Manager,10,0.3622948623874861,36.23,53.23,3.71,16.76,58.65,0.0,,,
Candidate_004,Inside Sales Representative,11,0.3336438431209324,33.36,15.04,5.98,30.89,86.44,0.0,,,
Candidate_004,Retail Sales Associate,12,0.3266032947217926,32.66,15.04,5.96,28.88,86.44,0.0,,,
Candidate_004,Continuing Care Assistant,13,0.2914224885486836,29.14,35.66,0.0,22.48,43.96,0.0,,,
Candidate_004,Delivery Driver,14,0.2273938450978202,22.74,43.8,10.43,0.0,37.05,0.0,,,
Candidate_004,Administrative Assistant,15,0.2070470875553976,20.7,0.0,13.76,34.1,43.85,0.0,,,
Candidate_005,Software Developer,1,0.8458171720921132,84.58,100.0,100.0,100.0,22.91,100.0,,,
Candidate_005,Office Manager,2,0.6546004372927443,65.46,92.47,52.17,35.78,52.86,100.0,,,
Candidate_005,Office Administrator,3,0.6273969522166322,62.74,75.19,26.76,45.29,52.86,100.0,,,
Candidate_005,Secondary School Teacher,4,0.6194622770021931,61.95,82.18,33.88,45.46,36.36,100.0,,,
Candidate_005,Bookkeeper,5,0.5969300806108413,59.69,92.61,40.55,32.28,29.92,100.0,,,
Candidate_005,Information Technology (IT) Analyst,6,0.5608618212878654,56.09,64.25,69.6,80.78,26.64,0.0,,,
Candidate_005,Food Service Supervisor,7,0.4624673034121652,46.25,59.55,41.7,33.53,68.33,0.0,,,
Candidate_005,Inside Sales Representative,8,0.4374931837952447,43.75,55.77,43.27,19.83,86.44,0.0,,,
Candidate_005,Retail Sales Associate,9,0.4264339388286295,42.64,55.77,43.15,16.67,86.44,0.0,,,
Candidate_005,Restaurant Manager,10,0.3950785295424769,39.51,66.45,26.85,12.92,58.65,0.0,,,
Candidate_005,"Driver, Truck",11,0.3691632985203794,36.92,51.23,17.68,3.5,88.8,0.0,,,
Candidate_005,Licensed Practical Nurse (L.P.N.),12,0.2885881667128754,28.86,43.67,38.28,21.42,30.39,0.0,,,
Candidate_005,Continuing Care Assistant,13,0.277566407651881,27.76,21.38,0.0,32.8,43.96,0.0,,,
Candidate_005,Administrative Assistant,14,0.2593525552134755,25.94,0.0,40.14,49.05,43.85,0.0,,,
Candidate_005,Delivery Driver,15,0.1940482809059744,19.4,34.27,67.1,0.0,37.05,0.0,,,
Candidate_006,Software Developer,1,0.8458171720921132,84.58,100.0,74.78,100.0,22.91,100.0,,,
Candidate_006,Information Technology (IT) Analyst,2,0.7568064072677244,75.68,81.55,45.56,90.89,26.64,100.0,,,
Candidate_006,Administrative Assistant,3,0.610374921176186,61.04,70.54,38.66,50.23,43.85,100.0,,,
Candidate_006,Retail Sales Associate,4,0.5505198690039517,55.05,73.75,30.81,34.15,86.44,0.0,,,
Candidate_006,Inside Sales Representative,5,0.5482584738154712,54.83,73.75,30.9,33.5,86.44,0.0,,,
Candidate_006,Office Administrator,6,0.496146304880964,49.61,65.03,32.56,46.52,52.86,0.0,,,
Candidate_006,Bookkeeper,7,0.4539506126809395,45.4,65.82,100.0,46.79,29.92,0.0,,,
Candidate_006,Secondary School Teacher,8,0.432777012823885,43.28,59.19,24.35,43.69,36.36,0.0,,,
Candidate_006,Continuing Care Assistant,9,0.385459083585754,38.55,42.38,0.0,42.63,43.96,0.0,,,
Candidate_006,Office Manager,10,0.3847025178965803,38.47,34.96,46.89,44.75,52.86,0.0,,,
Candidate_006,Licensed Practical Nurse (L.P.N.),11,0.3242054110457254,32.42,42.9,27.33,32.36,30.39,0.0,,,
Candidate_006,Food Service Supervisor,12,0.321363300455615,32.14,0.0,34.32,52.77,68.33,0.0,,,
Candidate_006,Restaurant Manager,13,0.3078811899085549,30.79,23.25,19.17,31.2,58.65,0.0,,,
Candidate_006,"Driver, Truck",14,0.2553355730995087,25.53,5.55,12.62,16.66,88.8,0.0,,,
Candidate_006,Delivery Driver,15,0.1210188838231201,12.1,13.4,50.24,0.0,37.05,0.0,,,
Candidate_007,Food Service Supervisor,1,0.7431132210509125,74.31,100.0,11.25,44.7,68.33,100.0,,,
Candidate_007,Administrative Assistant,2,0.6991469091471364,69.91,100.0,19.29,46.13,43.85,100.0,,,
Candidate_007,Software Developer,3,0.3958171720921131,39.58,0.0,24.82,100.0,22.91,0.0,,,
Candidate_007,Information Technology (IT) Analyst,4,0.3875956629582961,38.76,0.0,100.0,95.52,26.64,0.0,,,
Candidate_007,Bookkeeper,5,0.3060032199596656,30.6,0.0,24.04,41.76,29.92,100.0,,,
Candidate_007,Retail Sales Associate,6,0.2952768063257541,29.53,0.0,9.95,34.97,86.44,0.0,,,
Candidate_007,Inside Sales Representative,7,0.2928984506582306,29.29,0.0,9.98,34.29,86.44,0.0,,,
Candidate_007,Continuing Care Assistant,8,0.2894834378697614,28.95,0.0,0.0,29.02,43.96,100.0,,,
Candidate_007,Secondary School Teacher,9,0.2717036517823155,27.17,0.0,8.1,56.85,36.36,0.0,,,
Candidate_007,Office Administrator,10,0.2602115579137484,26.02,0.0,10.97,44.14,52.86,0.0,,,
Candidate_007,Office Manager,11,0.2434438687595175,24.34,0.0,15.56,39.35,52.86,0.0,,,
Candidate_007,"Driver, Truck",12,0.2366781866044324,23.67,0.0,9.57,16.88,88.8,0.0,,,
Candidate_007,Restaurant Manager,13,0.2205496503117008,22.05,0.0,6.19,29.5,58.65,0.0,,,
Candidate_007,Delivery Driver,14,0.1741062414935156,17.41,0.0,16.31,0.0,37.05,100.0,,,
Candidate_007,Licensed Practical Nurse (L.P.N.),15,0.146300449851264,14.63,0.0,8.83,24.43,30.39,0.0,,,
Candidate_008,Software Developer,1,0.8458171720921132,84.58,100.0,100.0,100.0,22.91,100.0,,,
Candidate_008,Information Technology (IT) Analyst,2,0.7007997630592073,70.08,78.79,92.66,77.64,26.64,100.0,,,
Candidate_008,Secondary School Teacher,3,0.6099978664564449,61.0,87.07,33.8,37.86,36.36,100.0,,,
Candidate_008,Restaurant Manager,4,0.577557406722316,57.76,81.33,16.49,21.6,58.65,100.0,,,
Candidate_008,Food Service Supervisor,5,0.5525408142064236,55.25,63.75,20.88,55.07,68.33,0.0,,,
Candidate_008,Licensed Practical Nurse (L.P.N.),6,0.5362652669227788,53.63,91.61,23.5,15.67,30.39,100.0,,,
Candidate_008,Office Manager,7,0.4827683923745225,48.28,69.6,62.85,38.13,52.86,0.0,,,
Candidate_008,Bookkeeper,8,0.4385705552942344,43.86,72.15,39.43,36.06,29.92,0.0,,,
Candidate_008,Office Administrator,9,0.436301620693274,43.63,55.57,52.19,38.88,52.86,0.0,,,
Candidate_008,"Driver, Truck",10,0.4361248769706988,43.61,65.12,10.85,8.74,88.8,0.0,,,
Candidate_008,Inside Sales Representative,11,0.4105430324573198,41.05,38.13,26.56,29.78,86.44,0.0,,,
Candidate_008,Retail Sales Associate,12,0.4025085692804451,40.25,38.13,26.49,27.48,86.44,0.0,,,
Candidate_008,Continuing Care Assistant,13,0.3738997982378033,37.39,54.02,0.0,27.69,43.96,0.0,,,
Candidate_008,Delivery Driver,14,0.2688115382334283,26.88,55.63,47.85,0.0,37.05,0.0,,,
Candidate_008,Administrative Assistant,15,0.2274454293849609,22.74,0.0,46.19,39.93,43.85,0.0,,,
Candidate_009,Administrative Assistant,1,0.7418403252215322,74.18,100.0,25.05,58.33,43.85,100.0,,,
Candidate_009,Office Administrator,2,0.5374258216714608,53.74,54.95,26.66,39.82,52.86,100.0,,,
Candidate_009,"Driver, Truck",3,0.5200147910672025,52.0,47.6,8.22,21.66,88.8,100.0,,,
Candidate_009,Software Developer,4,0.4933658316587673,49.34,27.87,100.0,100.0,22.91,0.0,,,
Candidate_009,Information Technology (IT) Analyst,5,0.4586776256388556,45.87,41.56,52.31,74.27,26.64,0.0,,,
Candidate_009,Bookkeeper,6,0.4529369246901253,45.29,43.67,27.96,40.08,29.92,100.0,,,
Candidate_009,Delivery Driver,7,0.3536731562184728,35.37,48.51,35.36,2.79,37.05,100.0,,,
Candidate_009,Office Manager,8,0.3501206703223837,35.01,39.03,39.78,30.8,52.86,0.0,,,
Candidate_009,Inside Sales Representative,9,0.3139303616377509,31.39,11.46,20.11,28.84,86.44,0.0,,,
Candidate_009,Retail Sales Associate,10,0.2986785301506342,29.87,11.46,20.05,24.48,86.44,0.0,,,
Candidate_009,Continuing Care Assistant,11,0.2977428164156854,29.77,18.04,0.0,41.91,43.96,0.0,,,
Candidate_009,Secondary School Teacher,12,0.2848398752604945,28.48,19.62,23.2,40.99,36.36,0.0,,,
Candidate_009,Food Service Supervisor,13,0.2595318779729407,25.95,0.0,42.1,35.1,68.33,0.0,,,
Candidate_009,Restaurant Manager,14,0.2116276020985093,21.16,8.19,12.48,18.76,58.65,0.0,,,
Candidate_009,Licensed Practical Nurse (L.P.N.),15,0.0731271246208756,7.31,3.53,17.79,0.0,30.39,0.0,,,
Candidate_010,Food Service Supervisor,1,0.7210987430006056,72.11,92.66,9.89,45.75,68.33,100.0,,,
Candidate_010,Office Manager,2,0.7183284037038542,71.83,100.0,20.37,46.46,52.86,100.0,,,
Candidate_010,Administrative Assistant,3,0.7033111293405017,70.33,89.8,18.33,57.52,43.85,100.0,,,
Candidate_010,Office Administrator,4,0.5900136329977571,59.0,85.64,15.9,52.73,52.86,0.0,,,
Candidate_010,Retail Sales Associate,5,0.5761875662238991,57.62,87.61,8.98,27.62,86.44,0.0,,,
Candidate_010,Inside Sales Representative,6,0.5731056282580118,57.31,87.61,9.01,26.74,86.44,0.0,,,
Candidate_010,"Driver, Truck",7,0.5062550727898834,50.63,77.16,8.22,16.74,88.8,0.0,,,
Candidate_010,Bookkeeper,8,0.4881111503629953,48.81,77.04,28.32,45.32,29.92,0.0,,,
Candidate_010,Software Developer,9,0.4553333485663701,45.53,17.0,54.08,100.0,22.91,0.0,,,
Candidate_010,Information Technology (IT) Analyst,10,0.4360682837852984,43.61,22.78,100.0,86.58,26.64,0.0,,,
Candidate_010,Restaurant Manager,11,0.4121097959386285,41.21,56.36,5.59,27.87,58.65,0.0,,,
Candidate_010,Secondary School Teacher,12,0.3979132637804125,39.79,43.12,6.94,49.79,36.36,0.0,,,
Candidate_010,Continuing Care Assistant,13,0.3679379041926014,36.79,38.91,0.0,41.09,43.96,0.0,,,
Candidate_010,Delivery Driver,14,0.3150714887068407,31.51,68.85,14.59,0.0,37.05,0.0,,,
Candidate_010,Licensed Practical Nurse (L.P.N.),15,0.1530894566024092,15.31,0.0,7.97,26.37,30.39,0.0,,,
Candidate_011,Office Manager,1,0.7173995223248091,71.74,100.0,62.7,46.19,52.86,100.0,,,
Candidate_011,Software Developer,2,0.6449509760619834,64.5,42.61,100.0,100.0,22.91,100.0,,,
Candidate_011,Office Administrator,3,0.6151702073663127,61.52,63.89,44.0,53.09,52.86,100.0,,,
Candidate_011,"Driver, Truck",4,0.5957348054574166,59.57,71.43,16.56,19.46,88.8,100.0,,,
Candidate_011,Secondary School Teacher,5,0.5628793829164142,56.29,63.7,48.24,47.77,36.36,100.0,,,
Candidate_011,Food Service Supervisor,6,0.4326480913229787,43.26,21.95,45.51,62.61,68.33,0.0,,,
Candidate_011,Information Technology (IT) Analyst,7,0.4311827963252087,43.12,33.6,62.61,74.37,26.64,0.0,,,
Candidate_011,Administrative Assistant,8,0.4144934690645923,41.45,33.36,51.4,60.01,43.85,0.0,,,
Candidate_011,Restaurant Manager,9,0.3326485220150341,33.26,23.66,25.15,37.87,58.65,0.0,,,
Candidate_011,Bookkeeper,10,0.2639758714319923,26.4,1.4,45.19,56.93,29.92,0.0,,,
Candidate_011,Continuing Care Assistant,11,0.2607667064682277,26.08,12.35,0.0,37.03,43.96,0.0,,,
Candidate_011,Inside Sales Representative,12,0.232510543494119,23.25,0.57,40.53,16.47,86.44,0.0,,,
Candidate_011,Retail Sales Associate,13,0.2224573835142416,22.25,0.57,40.41,13.6,86.44,0.0,,,
Candidate_011,Delivery Driver,14,0.1621674843394708,16.22,25.16,66.15,0.0,37.05,0.0,,,
Candidate_011,Licensed Practical Nurse (L.P.N.),15,0.1103065905631927,11.03,0.0,35.85,14.15,30.39,0.0,,,
Candidate_012,Software Developer,1,0.8458171720921132,84.58,100.0,38.55,100.0,22.91,100.0,,,
Candidate_012,Information Technology (IT) Analyst,2,0.7706076716664401,77.06,78.79,100.0,97.59,26.64,100.0,,,
Candidate_012,Secondary School Teacher,3,0.6358993310217702,63.59,87.07,5.79,45.26,36.36,100.0,,,
Candidate_012,Restaurant Manager,4,0.5683402876866298,56.83,81.33,0.0,18.97,58.65,100.0,,,
Candidate_012,Food Service Supervisor,5,0.5422318740592976,54.22,63.75,1.59,52.13,68.33,0.0,,,
Candidate_012,Licensed Practical Nurse (L.P.N.),6,0.5316795038859174,53.17,91.61,2.54,14.36,30.39,100.0,,,
Candidate_012,Office Manager,7,0.4963400733120359,49.63,69.6,5.34,42.01,52.86,0.0,,,
Candidate_012,Bookkeeper,8,0.4746455373102214,47.46,72.15,22.68,46.37,29.92,0.0,,,
Candidate_012,Office Administrator,9,0.4668083007730216,46.68,55.57,3.59,47.59,52.86,0.0,,,
Candidate_012,"Driver, Truck",10,0.4645832310982535,46.46,65.12,1.83,16.87,88.8,0.0,,,
Candidate_012,Retail Sales Associate,11,0.4196639038238752,41.97,38.13,3.62,32.38,86.44,0.0,,,
Candidate_012,Inside Sales Representative,12,0.417590345317685,41.76,38.13,3.65,31.79,86.44,0.0,,,
Candidate_012,Continuing Care Assistant,13,0.3879422534721486,38.79,54.02,3.2,31.7,43.96,0.0,,,
Candidate_012,Administrative Assistant,14,0.2734744110349866,27.35,0.0,40.97,53.08,43.85,0.0,,,
Candidate_012,Delivery Driver,15,0.2688115382334283,26.88,55.63,9.66,0.0,37.05,0.0,,,
Candidate_013,Software Developer,1,0.8458171720921132,84.58,100.0,100.0,100.0,22.91,100.0,,,
Candidate_013,Secondary School Teacher,2,0.6420078693737228,64.2,82.18,34.1,51.9,36.36,100.0,,,
Candidate_013,Office Manager,3,0.6418549895531888,64.19,92.47,16.36,32.14,52.86,100.0,,,
Candidate_013,Office Administrator,4,0.6099653767450535,61.0,75.19,9.61,40.31,52.86,100.0,,,
Candidate_013,Bookkeeper,5,0.5867856876671061,58.68,92.61,37.94,29.38,29.92,100.0,,,
Candidate_013,Information Technology (IT) Analyst,6,0.5721250822550883,57.21,64.25,77.57,83.99,26.64,0.0,,,
Candidate_013,Food Service Supervisor,7,0.4807125361282482,48.07,59.55,18.05,38.74,68.33,0.0,,,
Candidate_013,Inside Sales Representative,8,0.4806107115644586,48.06,55.77,22.97,32.15,86.44,0.0,,,
Candidate_013,Retail Sales Associate,9,0.4692477049169307,46.92,55.77,22.91,28.9,86.44,0.0,,,
Candidate_013,Restaurant Manager,10,0.4043821367349208,40.44,66.45,14.26,15.58,58.65,0.0,,,
Candidate_013,"Driver, Truck",11,0.4008419457102978,40.08,51.23,9.39,12.55,88.8,0.0,,,
Candidate_013,Licensed Practical Nurse (L.P.N.),12,0.3130440119927192,31.3,43.67,20.32,28.41,30.39,0.0,,,
Candidate_013,Continuing Care Assistant,13,0.3049966446574087,30.5,21.38,0.0,40.64,43.96,0.0,,,
Candidate_013,Administrative Assistant,14,0.2570606280163904,25.71,0.0,32.83,48.39,43.85,0.0,,,
Candidate_013,Delivery Driver,15,0.1940482809059744,19.4,34.27,43.14,0.0,37.05,0.0,,,
Candidate_014,Software Developer,1,0.8458171720921132,84.58,100.0,100.0,100.0,22.91,100.0,,,
Candidate_014,Information Technology (IT) Analyst,2,0.7180046448235917,71.8,74.9,62.84,86.45,26.64,100.0,,,
Candidate_014,Secondary School Teacher,3,0.5869544255161661,58.7,75.27,23.39,43.09,36.36,100.0,,,
Candidate_014,Bookkeeper,4,0.4991491370002179,49.91,63.86,29.26,33.09,29.92,100.0,,,
Candidate_014,Licensed Practical Nurse (L.P.N.),5,0.4938523045908566,49.39,74.18,19.91,20.98,30.39,100.0,,,
Candidate_014,Office Administrator,6,0.4710905895149042,47.11,48.59,34.35,55.8,52.86,0.0,,,
Candidate_014,Office Manager,7,0.4241047123615997,42.41,51.7,44.06,39.27,52.86,0.0,,,
Candidate_014,Inside Sales Representative,8,0.388804982062272,38.88,35.57,22.5,26.13,86.44,0.0,,,
Candidate_014,Continuing Care Assistant,9,0.3779642848856643,37.8,39.96,0.0,42.91,43.96,0.0,,,
Candidate_014,Retail Sales Associate,10,0.3675245531745266,36.75,35.57,22.44,20.04,86.44,0.0,,,
Candidate_014,Food Service Supervisor,11,0.3442564920336504,34.43,35.25,17.68,24.06,68.33,0.0,,,
Candidate_014,"Driver, Truck",12,0.3378890387769727,33.79,38.26,58.49,7.53,88.8,0.0,,,
Candidate_014,Restaurant Manager,13,0.3223779618321964,32.24,58.59,13.96,0.0,58.65,0.0,,,
Candidate_014,Administrative Assistant,14,0.3120564572885949,31.21,0.0,33.85,64.1,43.85,0.0,,,
Candidate_014,Delivery Driver,15,0.2012457311100574,20.12,32.17,38.63,4.16,37.05,0.0,,,
Candidate_015,Food Service Supervisor,1,0.7574532664822402,75.75,100.0,10.65,48.8,68.33,100.0,,,
Candidate_015,Administrative Assistant,2,0.7155093291691262,71.55,100.0,21.9,50.81,43.85,100.0,,,
Candidate_015,Software Developer,3,0.3958171720921131,39.58,0.0,100.0,100.0,22.91,0.0,,,
Candidate_015,Information Technology (IT) Analyst,4,0.3538116794503082,35.38,0.0,45.65,85.87,26.64,0.0,,,
Candidate_015,Bookkeeper,5,0.3210759622947202,32.11,0.0,51.79,46.07,29.92,100.0,,,
Candidate_015,Continuing Care Assistant,6,0.2820767066026635,28.21,0.0,0.0,26.9,43.96,100.0,,,
Candidate_015,Office Administrator,7,0.2782484761235507,27.82,0.0,29.96,49.29,52.86,0.0,,,
Candidate_015,Inside Sales Representative,8,0.2762678922969726,27.63,0.0,13.55,29.54,86.44,0.0,,,
Candidate_015,Retail Sales Associate,9,0.2694419797233605,26.94,0.0,13.51,27.59,86.44,0.0,,,
Candidate_015,Office Manager,10,0.2628666888118244,26.29,0.0,36.59,44.9,52.86,0.0,,,
Candidate_015,Secondary School Teacher,11,0.2145910004332945,21.46,0.0,12.14,40.54,36.36,0.0,,,
Candidate_015,"Driver, Truck",12,0.2083379271442522,20.83,0.0,5.54,8.78,88.8,0.0,,,
Candidate_015,Restaurant Manager,13,0.2080467038481203,20.8,0.0,8.41,25.93,58.65,0.0,,,
Candidate_015,Delivery Driver,14,0.1741062414935156,17.41,0.0,22.56,0.0,37.05,100.0,,,
Candidate_015,Licensed Practical Nurse (L.P.N.),15,0.124041019646421,12.4,0.0,11.99,18.07,30.39,0.0,,,
Candidate_016,Software Developer,1,0.8458171720921132,84.58,100.0,100.0,100.0,22.91,100.0,,,
Candidate_016,Information Technology (IT) Analyst,2,0.7386247567593165,73.86,77.38,35.26,89.86,26.64,100.0,,,
Candidate_016,Inside Sales Representative,3,0.5446658543231258,54.47,77.67,32.78,28.55,86.44,0.0,,,
Candidate_016,Retail Sales Associate,4,0.5414077701172073,54.14,77.67,32.69,27.62,86.44,0.0,,,
Candidate_016,Licensed Practical Nurse (L.P.N.),5,0.5099512336376286,51.0,79.48,29.0,20.28,30.39,100.0,,,
Candidate_016,Secondary School Teacher,6,0.4780874641104701,47.81,74.1,24.23,41.72,36.36,0.0,,,
Candidate_016,Restaurant Manager,7,0.4420133129039705,44.2,70.79,20.35,21.98,58.65,0.0,,,
Candidate_016,Office Administrator,8,0.4104858924844833,41.05,43.85,8.87,43.22,52.86,0.0,,,
Candidate_016,Food Service Supervisor,9,0.3999934441039277,40.0,33.31,25.76,41.92,68.33,0.0,,,
Candidate_016,Bookkeeper,10,0.3781997968521396,37.82,49.82,34.85,41.14,29.92,0.0,,,
Candidate_016,Continuing Care Assistant,11,0.3604177377330563,36.04,51.06,0.0,26.8,43.96,0.0,,,
Candidate_016,Office Manager,12,0.349613109171956,34.96,29.88,23.34,39.8,52.86,0.0,,,
Candidate_016,Administrative Assistant,13,0.2580400095918262,25.8,4.9,33.3,43.77,43.85,0.0,,,
Candidate_016,"Driver, Truck",14,0.2267303814035669,22.67,0.0,13.4,14.04,88.8,0.0,,,
Candidate_016,Delivery Driver,15,0.1210997978177817,12.11,13.43,52.73,0.0,37.05,0.0,,,
Candidate_017,Administrative Assistant,1,0.7025427323425103,70.25,100.0,39.3,47.1,43.85,100.0,,,
Candidate_017,Office Administrator,2,0.6860714133246636,68.61,92.96,23.43,44.28,52.86,100.0,,,
Candidate_017,Office Manager,3,0.6565411883185116,65.65,89.32,41.92,39.49,52.86,100.0,,,
Candidate_017,Inside Sales Representative,4,0.6086784973140207,60.87,99.78,40.14,24.74,86.44,0.0,,,
Candidate_017,Retail Sales Associate,5,0.6028070595623055,60.28,99.78,40.02,23.06,86.44,0.0,,,
Candidate_017,Software Developer,6,0.5654376760892412,56.54,48.46,100.0,100.0,22.91,0.0,,,
Candidate_017,Information Technology (IT) Analyst,7,0.4975782617218723,49.76,43.38,50.5,83.56,26.64,0.0,,,
Candidate_017,Bookkeeper,8,0.484801093712805,48.48,85.34,39.63,36.07,29.92,0.0,,,
Candidate_017,Food Service Supervisor,9,0.4826415242842554,48.26,62.53,31.54,36.32,68.33,0.0,,,
Candidate_017,"Driver, Truck",10,0.3908065185131034,39.08,51.15,16.4,9.77,88.8,0.0,,,
Candidate_017,Secondary School Teacher,11,0.3732938699521563,37.33,49.74,20.79,36.14,36.36,0.0,,,
Candidate_017,Continuing Care Assistant,12,0.3175631097927817,31.76,36.22,0.0,29.39,43.96,0.0,,,
