candidate_id,selected_occupation,semantic_similarity_score,semantic_normalized_score,semantic_percentage,semantic_rank
Candidate_005,Continuing Care Assistant,0.42586013674736023,0.3280481523629014,32.8,8
Candidate_005,Delivery Driver,0.3677581250667572,0.0,0.0,15
Candidate_005,"Driver, Truck",0.37395229935646057,0.03497275520030476,3.5,14
Candidate_005,Food Service Supervisor,0.4271465241909027,0.3353111887341159,33.53,7
Candidate_005,Information Technology (IT) Analyst,0.5108234286308289,0.8077570318808662,80.78,2
Candidate_005,Inside Sales Representative,0.40288046002388,0.19830323866740682,19.83,11
Candidate_005,Licensed Practical Nurse (L.P.N.),0.4056984782218933,0.21421397284757837,21.42,10
Candidate_005,Office Administrator,0.44796815514564514,0.4528716202288789,45.29,5
Candidate_005,Office Manager,0.4311235249042511,0.35776562186341543,35.78,6
Candidate_005,Restaurant Manager,0.39063629508018494,0.12917179948271645,12.92,13
Candidate_005,Retail Sales Associate,0.39728403091430664,0.16670539590564917,16.67,12
Candidate_005,Secondary School Teacher,0.44827374815940857,0.4545970204455046,45.46,4
Candidate_005,Software Developer,0.5448724031448364,1.0,100.0,1
Candidate_006,Administrative Assistant,0.49991950392723083,0.5022755144662412,50.23,4
Candidate_006,Bookkeeper,0.4940810799598694,0.4678506593360056,46.79,5
Candidate_006,Continuing Care Assistant,0.48702722787857056,0.4262593262354456,42.63,9
Candidate_006,Delivery Driver,0.41473403573036194,0.0,0.0,15
Candidate_006,"Driver, Truck",0.44298255443573,0.16656055975248477,16.66,14
Candidate_006,Food Service Supervisor,0.5042318105697632,0.527701987822101,52.77,3
Candidate_006,Information Technology (IT) Analyst,0.5688779950141907,0.9088725822603883,90.89,2
Candidate_006,Inside Sales Representative,0.47154855728149414,0.33499308796775706,33.5,11
Candidate_006,Licensed Practical Nurse (L.P.N.),0.46962401270866394,0.32364547626950935,32.36,12
Candidate_006,Office Administrator,0.49363285303115845,0.46520779763692316,46.52,6
Candidate_006,Office Manager,0.4906313121318817,0.44750993752900514,44.75,7
Candidate_006,Restaurant Manager,0.46764451265335083,0.3119738328576241,31.2,13
Candidate_006,Retail Sales Associate,0.4726443588733673,0.34145421707770135,34.15,10
Candidate_006,Secondary School Teacher,0.48882585763931274,0.4368645116917636,43.69,8
Candidate_006,Software Developer,0.5843331217765808,1.0,100.0,1
Candidate_007,Administrative Assistant,0.4972133934497833,0.4613046162149277,46.13,4
Candidate_007,Bookkeeper,0.4900110065937042,0.41759446203965406,41.76,7
Candidate_007,Continuing Care Assistant,0.4690144658088684,0.2901697550374238,29.02,12
Candidate_007,Delivery Driver,0.4212014377117157,0.0,0.0,15
Candidate_007,"Driver, Truck",0.44901224970817566,0.16877944831285843,16.88,14
Candidate_007,Food Service Supervisor,0.49485427141189575,0.4469874752372369,44.7,5
Candidate_007,Information Technology (IT) Analyst,0.578595757484436,0.9552013965719094,95.52,2
Candidate_007,Inside Sales Representative,0.47770482301712036,0.34291016748698266,34.29,10
Candidate_007,Licensed Practical Nurse (L.P.N.),0.4614616930484772,0.24433316386225493,24.43,13
Candidate_007,Office Administrator,0.4939301908016205,0.44137937520697806,44.14,6
Candidate_007,Office Manager,0.48603615164756775,0.3934716919091758,39.35,8
Candidate_007,Restaurant Manager,0.4698101282119751,0.29499850514571707,29.5,11
Candidate_007,Retail Sales Associate,0.47882452607154846,0.34970546939419245,34.97,9
Candidate_007,Secondary School Teacher,0.5148848295211792,0.5685497851587828,56.85,3
Candidate_007,Software Developer,0.5859774947166443,1.0,100.0,1
Candidate_008,Administrative Assistant,0.46765005588531494,0.3993003883229979,39.93,4
Candidate_008,Bookkeeper,0.4620536267757416,0.36062153924867646,36.06,8
Candidate_008,Continuing Care Assistant,0.449933797121048,0.2768572222454515,27.69,10
Candidate_008,Delivery Driver,0.40987542271614075,0.0,0.0,15
Candidate_008,"Driver, Truck",0.4225211441516876,0.08739893622608873,8.74,14
Candidate_008,Food Service Supervisor,0.4895574748516083,0.5507101060581312,55.07,3
Candidate_008,Information Technology (IT) Analyst,0.5222185254096985,0.7764418754437454,77.64,2
Candidate_008,Inside Sales Representative,0.4529590308666229,0.2977656545991239,29.78,9
Candidate_008,Licensed Practical Nurse (L.P.N.),0.43254363536834717,0.15666782492777004,15.67,13
Candidate_008,Office Administrator,0.46612781286239624,0.38877964250720753,38.88,5
Candidate_008,Office Manager,0.4650447964668274,0.38129454318957917,38.13,6
Candidate_008,Restaurant Manager,0.44113171100616455,0.21602297352882474,21.6,12
Candidate_008,Retail Sales Associate,0.44963759183883667,0.274810045522339,27.48,11
Candidate_008,Secondary School Teacher,0.4646609425544739,0.3786415965959894,37.86,7
Candidate_008,Software Developer,0.5545650720596313,1.0,100.0,1
Candidate_009,Administrative Assistant,0.5320426821708679,0.5832858049989158,58.33,3
Candidate_009,Bookkeeper,0.5032666921615601,0.4007539376996639,40.08,6
Candidate_009,Continuing Care Assistant,0.5061572194099426,0.4190891308921823,41.91,4
Candidate_009,Delivery Driver,0.44448646903038025,0.02789921107060779,2.79,14
Candidate_009,"Driver, Truck",0.47424158453941345,0.2166418674939653,21.66,12
Candidate_009,Food Service Supervisor,0.49542945623397827,0.35104078072874595,35.1,8
Candidate_009,Information Technology (IT) Analyst,0.5571788549423218,0.7427295826498673,74.27,2
Candidate_009,Inside Sales Representative,0.4855526387691498,0.28839014962115017,28.84,10
Candidate_009,Licensed Practical Nurse (L.P.N.),0.4400881826877594,0.0,0.0,15
Candidate_009,Office Administrator,0.5028616189956665,0.39818447748858327,39.82,7
Candidate_009,Office Manager,0.4886447489261627,0.30800402357203743,30.8,9
Candidate_009,Restaurant Manager,0.46966102719306946,0.18758647494521088,18.76,13
Candidate_009,Retail Sales Associate,0.47868281602859497,0.24481348822938823,24.48,11
Candidate_009,Secondary School Teacher,0.5047097206115723,0.40990735613849,40.99,5
Candidate_009,Software Developer,0.5977373123168945,1.0,100.0,1
Candidate_010,Administrative Assistant,0.4838198125362396,0.5752204260174006,57.52,3
Candidate_010,Bookkeeper,0.4623202681541443,0.4531793806536002,45.32,8
Candidate_010,Continuing Care Assistant,0.4548724293708801,0.4109021112074824,41.09,9
Candidate_010,Delivery Driver,0.3824852406978607,0.0,0.0,15
Candidate_010,"Driver, Truck",0.41197165846824646,0.16737811670690406,16.74,14
Candidate_010,Food Service Supervisor,0.46308445930480957,0.4575172719701541,45.75,7
Candidate_010,Information Technology (IT) Analyst,0.5350187420845032,0.8658484864325436,86.58,2
Candidate_010,Inside Sales Representative,0.4295895993709564,0.2673854418256158,26.74,12
Candidate_010,Licensed Practical Nurse (L.P.N.),0.4289456903934479,0.2637303260083838,26.37,13
Candidate_010,Office Administrator,0.47537779808044434,0.5272997700792416,52.73,4
Candidate_010,Office Manager,0.46432697772979736,0.46457036317870903,46.46,6
Candidate_010,Restaurant Manager,0.43158456683158875,0.2787097708455877,27.87,10
Candidate_010,Retail Sales Associate,0.43114084005355835,0.276190978871008,27.62,11
Candidate_010,Secondary School Teacher,0.47020241618156433,0.4979219839331218,49.79,5
Candidate_010,Software Developer,0.5586517453193665,1.0,100.0,1
Candidate_011,Administrative Assistant,0.49315014481544495,0.6001075792939556,60.01,4
Candidate_011,Bookkeeper,0.4890348017215729,0.569274433707107,56.93,5
Candidate_011,Continuing Care Assistant,0.4624759256839752,0.37028891225454985,37.03,10
Candidate_011,Delivery Driver,0.4130529463291168,0.0,0.0,15
Candidate_011,"Driver, Truck",0.43902596831321716,0.19459616121889262,19.46,11
Candidate_011,Food Service Supervisor,0.4966239929199219,0.6261344893009065,62.61,3
Candidate_011,Information Technology (IT) Analyst,0.5123158097267151,0.7437013752420701,74.37,2
Candidate_011,Inside Sales Representative,0.43503671884536743,0.16470773956879414,16.47,12
Candidate_011,Licensed Practical Nurse (L.P.N.),0.4319382905960083,0.1414935658963367,14.15,13
Candidate_011,Office Administrator,0.48391810059547424,0.5309388716052961,53.09,6
Candidate_011,Office Manager,0.4747055768966675,0.46191641638143716,46.19,8
Candidate_011,Restaurant Manager,0.4635962247848511,0.3786824640168697,37.87,9
Candidate_011,Retail Sales Associate,0.4312029778957367,0.13598442534057287,13.6,14
Candidate_011,Secondary School Teacher,0.4768158793449402,0.47772731261430856,47.77,7
Candidate_011,Software Developer,0.5465243458747864,1.0,100.0,1
Candidate_012,Administrative Assistant,0.4357320964336395,0.5308117644659284,53.08,3
Candidate_012,Bookkeeper,0.4259248375892639,0.4636929164372106,46.37,6
Candidate_012,Continuing Care Assistant,0.4044872522354126,0.3169785229150095,31.7,11
Candidate_012,Delivery Driver,0.3581710457801819,0.0,0.0,15
Candidate_012,"Driver, Truck",0.3828223645687103,0.16870851944767382,16.87,13
Candidate_012,Food Service Supervisor,0.4343358278274536,0.5212559913520569,52.13,4
Candidate_012,Information Technology (IT) Analyst,0.500766396522522,0.9758930428929817,97.59,2
Candidate_012,Inside Sales Representative,0.40462201833724976,0.31790083420016724,31.79,10
Candidate_012,Licensed Practical Nurse (L.P.N.),0.37914854288101196,0.14356564482245202,14.36,14
Candidate_012,Office Administrator,0.42771458625793457,0.4759415855922005,47.59,5
Candidate_012,Office Manager,0.4195508658885956,0.4200707744396174,42.01,8
Candidate_012,Restaurant Manager,0.38588789105415344,0.18968834771257828,18.97,12
Candidate_012,Retail Sales Associate,0.40548768639564514,0.3238252870749964,32.38,9
Candidate_012,Secondary School Teacher,0.4243106544017792,0.4526457810683473,45.26,7
Candidate_012,Software Developer,0.5042888522148132,1.0,100.0,1
Candidate_013,Administrative Assistant,0.47558891773223877,0.4839152415556534,48.39,4
Candidate_013,Bookkeeper,0.44568902254104614,0.29377691627177466,29.38,10
Candidate_013,Continuing Care Assistant,0.46340256929397583,0.4064202580929805,40.64,5
Candidate_013,Delivery Driver,0.3994916081428528,0.0,0.0,15
Candidate_013,"Driver, Truck",0.41922426223754883,0.1254831757429289,12.55,14
Candidate_013,Food Service Supervisor,0.4604179263114929,0.38744042506578164,38.74,7
Candidate_013,Information Technology (IT) Analyst,0.5315746665000916,0.8399377775015029,83.99,2
Candidate_013,Inside Sales Representative,0.45004796981811523,0.32149617515087514,32.15,8
Candidate_013,Licensed Practical Nurse (L.P.N.),0.4441653788089752,0.28408781650427517,28.41,12
Candidate_013,Office Administrator,0.46287527680397034,0.40306711888151114,40.31,6
Candidate_013,Office Manager,0.4500249922275543,0.32135005689325674,32.14,9
Candidate_013,Restaurant Manager,0.4239843785762787,0.15575353431827021,15.58,13
Candidate_013,Retail Sales Associate,0.4449426233768463,0.28903044187222404,28.9,11
Candidate_013,Secondary School Teacher,0.481108158826828,0.5190129986498749,51.9,3
Candidate_013,Software Developer,0.5567449927330017,1.0,100.0,1
Candidate_014,Administrative Assistant,0.5150535106658936,0.6410461823333806,64.1,3
Candidate_014,Bookkeeper,0.4649537205696106,0.33088412064045336,33.09,8
Candidate_014,Continuing Care Assistant,0.48081856966018677,0.42910158408538196,42.91,6
Candidate_014,Delivery Driver,0.418222576379776,0.04157695988522452,4.16,14
Candidate_014,"Driver, Truck",0.42367374897003174,0.07532454497467053,7.53,13
Candidate_014,Food Service Supervisor,0.4503766894340515,0.24063939063903086,24.06,10
Candidate_014,Information Technology (IT) Analyst,0.5511531233787537,0.8645347495273501,86.45,2
Candidate_014,Inside Sales Representative,0.45370587706565857,0.2612500099170236,26.13,9
Candidate_014,Licensed Practical Nurse (L.P.N.),0.44539809226989746,0.2098174658803651,20.98,11
Candidate_014,Office Administrator,0.5016408562660217,0.5580099753264454,55.8,4
Candidate_014,Office Manager,0.474932461977005,0.3926613656562496,39.27,7
Candidate_014,Restaurant Manager,0.4115067422389984,0.0,0.0,15
Candidate_014,Retail Sales Associate,0.44388478994369507,0.20044878452346535,20.04,12
Candidate_014,Secondary School Teacher,0.4811060130596161,0.4308811132453981,43.09,5
Candidate_014,Software Developer,0.5730345249176025,1.0,100.0,1
Candidate_015,Administrative Assistant,0.5003218054771423,0.5080543877063274,50.81,3
Candidate_015,Bookkeeper,0.4928012490272522,0.4606594401398101,46.07,6
Candidate_015,Continuing Care Assistant,0.4623902440071106,0.26900766570285845,26.9,11
Candidate_015,Delivery Driver,0.41970452666282654,0.0,0.0,15
Candidate_015,"Driver, Truck",0.4336376488208771,0.08780727842662928,8.78,14
Candidate_015,Food Service Supervisor,0.4971331059932709,0.48795903361245896,48.8,5
Candidate_015,Information Technology (IT) Analyst,0.5559578537940979,0.8586757294062297,85.87,2
Candidate_015,Inside Sales Representative,0.4665772318840027,0.2953942864548167,29.54,9
Candidate_015,Licensed Practical Nurse (L.P.N.),0.44838324189186096,0.1807347918484176,18.07,13
Candidate_015,Office Administrator,0.4979192614555359,0.4929134272349848,49.29,4
Candidate_015,Office Manager,0.4909456670284271,0.4489654634871952,44.9,7
Candidate_015,Restaurant Manager,0.4608460068702698,0.2592758009640586,25.93,12
Candidate_015,Retail Sales Associate,0.4634825885295868,0.27589167910163936,27.59,10
Candidate_015,Secondary School Teacher,0.4840281307697296,0.40537078130443727,40.54,8
Candidate_015,Software Developer,0.5783829689025879,1.0,100.0,1
Candidate_016,Administrative Assistant,0.45423510670661926,0.4376967566986506,43.77,3
Candidate_016,Bookkeeper,0.4495970904827118,0.4114342357794742,41.14,7
Candidate_016,Continuing Care Assistant,0.42425957322120667,0.2679618879057839,26.8,11
Candidate_016,Delivery Driver,0.3769369423389435,0.0,0.0,15
Candidate_016,"Driver, Truck",0.40172430872917175,0.14035714773895702,14.04,14
Candidate_016,Food Service Supervisor,0.4509759545326233,0.41924198034251337,41.92,5
Candidate_016,Information Technology (IT) Analyst,0.5356302261352539,0.8985923041731363,89.86,2
Candidate_016,Inside Sales Representative,0.42736250162124634,0.2855320554262618,28.55,9
Candidate_016,Licensed Practical Nurse (L.P.N.),0.41275420784950256,0.2028133666048858,20.28,13
Candidate_016,Office Administrator,0.4532664120197296,0.43221157440291014,43.22,4
Candidate_016,Office Manager,0.44722843170166016,0.3980218310390374,39.8,8
Candidate_016,Restaurant Manager,0.4157570004463196,0.2198165204497026,21.98,12
Candidate_016,Retail Sales Associate,0.4257185459136963,0.276223243409352,27.62,10
Candidate_016,Secondary School Teacher,0.45061805844306946,0.4172154127142354,41.72,6
Candidate_016,Software Developer,0.5535390377044678,1.0,100.0,1
Candidate_017,Administrative Assistant,0.4452670216560364,0.47100696820171023,47.1,3
Candidate_017,Bookkeeper,0.4256695508956909,0.3607315538526347,36.07,8
Candidate_017,Continuing Care Assistant,0.4137895405292511,0.29388246492421377,29.39,9
Candidate_017,Delivery Driver,0.3615625500679016,0.0,0.0,15
Candidate_017,"Driver, Truck",0.3789205253124237,0.09767372207151731,9.77,13
Candidate_017,Food Service Supervisor,0.4261137545108795,0.36323109771313117,36.32,6
Candidate_017,Information Technology (IT) Analyst,0.5100600123405457,0.835598602603215,83.56,2
Candidate_017,Inside Sales Representative,0.40552371740341187,0.24737048992065855,24.74,10
Candidate_017,Licensed Practical Nurse (L.P.N.),0.3900345265865326,0.16021246038965045,16.02,12
Candidate_017,Office Administrator,0.4402604401111603,0.4428348198114802,44.28,4
Candidate_017,Office Manager,0.4317367970943451,0.394872086408921,39.49,5
Candidate_017,Restaurant Manager,0.37773922085762024,0.09102649499722291,9.1,14
Candidate_017,Retail Sales Associate,0.40254247188568115,0.2305949534871865,23.06,11
Candidate_017,Secondary School Teacher,0.42579084634780884,0.3614140861245046,36.14,7
Candidate_017,Software Developer,0.5392764210700989,1.0,100.0,1
Candidate_018,Administrative Assistant,0.416479229927063,0.44704499539019854,44.7,6
Candidate_018,Bookkeeper,0.40535968542099,0.3801724051406097,38.02,9
Candidate_018,Continuing Care Assistant,0.38994458317756653,0.2874664660244011,28.75,11
Candidate_018,Delivery Driver,0.34214478731155396,0.0,0.0,15
Candidate_018,"Driver, Truck",0.364439994096756,0.13408267101789864,13.41,14
Candidate_018,Food Service Supervisor,0.43658238649368286,0.567944745471569,56.79,3
Candidate_018,Information Technology (IT) Analyst,0.5084243416786194,1.0,100.0,1
Candidate_018,Inside Sales Representative,0.4062611162662506,0.38559358183723885,38.56,8
Candidate_018,Licensed Practical Nurse (L.P.N.),0.3868527114391327,0.26887204682353855,26.89,12
Candidate_018,Office Administrator,0.4249130189418793,0.49776553675151664,49.78,4
Candidate_018,Office Manager,0.42197418212890625,0.48009146476978953,48.01,5
Candidate_018,Restaurant Manager,0.3734278380870819,0.18813528154201084,18.81,13
Candidate_018,Retail Sales Associate,0.4022875428199768,0.3616966363504711,36.17,10
Candidate_018,Secondary School Teacher,0.4087374806404114,0.40048635914583175,40.05,7
Candidate_018,Software Developer,0.5064906477928162,0.9883708259072276,98.84,2
Candidate_019,Administrative Assistant,0.4918837547302246,0.6006696064214553,60.07,3
Candidate_019,Bookkeeper,0.48872044682502747,0.5796939145336845,57.97,4
Candidate_019,Continuing Care Assistant,0.4608970284461975,0.39519861130378797,39.52,10
Candidate_019,Delivery Driver,0.40129780769348145,0.0,0.0,15
Candidate_019,"Driver, Truck",0.4203358292579651,0.12623990027441137,12.62,14
Candidate_019,Food Service Supervisor,0.47528356313705444,0.49059480037294334,49.06,7
Candidate_019,Information Technology (IT) Analyst,0.536400318145752,0.8958560840237093,89.59,2
Candidate_019,Inside Sales Representative,0.458787202835083,0.3812084929586984,38.12,12
Candidate_019,Licensed Practical Nurse (L.P.N.),0.44338569045066833,0.27908205188402396,27.91,13
Candidate_019,Office Administrator,0.486266553401947,0.5634223045891082,56.34,5
Candidate_019,Office Manager,0.4725610315799713,0.4725418681868969,47.25,8
Candidate_019,Restaurant Manager,0.4624530076980591,0.40551620995335047,40.55,9
Candidate_019,Retail Sales Associate,0.4589310586452484,0.3821623916118575,38.22,11
Candidate_019,Secondary School Teacher,0.48202791810035706,0.5353161856859474,53.53,6
Candidate_019,Software Developer,0.5521060824394226,1.0,100.0,1
Candidate_020,Administrative Assistant,0.4861774146556854,0.5406863266509916,54.07,3
Candidate_020,Bookkeeper,0.4633236825466156,0.39808548716182596,39.81,7
Candidate_020,Continuing Care Assistant,0.4496336579322815,0.3126635966227037,31.27,9
Candidate_020,Delivery Driver,0.3995250463485718,0.0,0.0,15
Candidate_020,"Driver, Truck",0.4199323058128357,0.1273355405317955,12.73,14
Candidate_020,Food Service Supervisor,0.46611639857292175,0.41551124711671994,41.55,6
Candidate_020,Information Technology (IT) Analyst,0.5150970220565796,0.7211365162910437,72.11,2
Candidate_020,Inside Sales Representative,0.43070200085639954,0.19453539860858723,19.45,11
Candidate_020,Licensed Practical Nurse (L.P.N.),0.422485888004303,0.14326917283613597,14.33,13
Candidate_020,Office Administrator,0.4752272665500641,0.47236049238724803,47.24,4
Candidate_020,Office Manager,0.46285900473594666,0.39518602874614417,39.52,8
Candidate_020,Restaurant Manager,0.434066504240036,0.21552895032613328,21.55,10
Candidate_020,Retail Sales Associate,0.4241342544555664,0.15355451435559203,15.36,12
Candidate_020,Secondary School Teacher,0.47402092814445496,0.4648332811410983,46.48,5
Candidate_020,Software Developer,0.559788703918457,1.0,100.0,1
Candidate_021,Administrative Assistant,0.44408002495765686,0.5306744140015363,53.07,3
Candidate_021,Bookkeeper,0.4354056417942047,0.47194715143600974,47.19,7
Candidate_021,Continuing Care Assistant,0.41441208124160767,0.3298166599040918,32.98,9
Candidate_021,Delivery Driver,0.36569610238075256,0.0,0.0,15
Candidate_021,"Driver, Truck",0.39710554480552673,0.212648039354352,21.26,13
Candidate_021,Food Service Supervisor,0.4369829297065735,0.4826256976364347,48.26,5
Candidate_021,Information Technology (IT) Analyst,0.47486448287963867,0.7390911866129669,73.91,2
Candidate_021,Inside Sales Representative,0.4050852954387665,0.2666725044736904,26.67,11
Candidate_021,Licensed Practical Nurse (L.P.N.),0.395702600479126,0.2031498331685229,20.31,14
Candidate_021,Office Administrator,0.4364844262599945,0.479250732264786,47.93,6
Candidate_021,Office Manager,0.42977455258369446,0.4338235813372304,43.38,8
Candidate_021,Restaurant Manager,0.40783554315567017,0.28529221687829726,28.53,10
Candidate_021,Retail Sales Associate,0.4029863774776459,0.2524624213030994,25.25,12
Candidate_021,Secondary School Teacher,0.4378003478050232,0.48815977728093646,48.82,4
Candidate_021,Software Developer,0.5134023427963257,1.0,100.0,1
Candidate_022,Administrative Assistant,0.49176648259162903,0.5811353737260412,58.11,3
Candidate_022,Bookkeeper,0.4685722291469574,0.44762465969152226,44.76,8
Candidate_022,Continuing Care Assistant,0.4669053256511688,0.43802963321307814,43.8,9
Candidate_022,Delivery Driver,0.3908082842826843,0.0,0.0,15
Candidate_022,"Driver, Truck",0.4217700958251953,0.17822231600183214,17.82,14
Candidate_022,Food Service Supervisor,0.4737532138824463,0.4774474333835969,47.74,6
Candidate_022,Information Technology (IT) Analyst,0.5448817014694214,0.8868770875255392,88.69,2
Candidate_022,Inside Sales Representative,0.4376605153083801,0.26969071599016686,26.97,13
Candidate_022,Licensed Practical Nurse (L.P.N.),0.44093814492225647,0.2885574008409286,28.86,11
Candidate_022,Office Administrator,0.48315852880477905,0.5315862878199157,53.16,4
Candidate_022,Office Manager,0.473161518573761,0.4740415180631537,47.4,7
Candidate_022,Restaurant Manager,0.4421839714050293,0.2957286246819928,29.57,10
Candidate_022,Retail Sales Associate,0.43819478154182434,0.27276605818567334,27.28,12
Candidate_022,Secondary School Teacher,0.47830671072006226,0.5036582625268687,50.37,5
Candidate_022,Software Developer,0.564534068107605,1.0,100.0,1
Candidate_023,Administrative Assistant,0.4512091279029846,0.40435792531197395,40.44,4
Candidate_023,Bookkeeper,0.4349319636821747,0.29409737601489705,29.41,7
Candidate_023,Continuing Care Assistant,0.4343760907649994,0.29033192569715943,29.03,8
Candidate_023,Delivery Driver,0.39151597023010254,0.0,0.0,15
Candidate_023,"Driver, Truck",0.4173167943954468,0.17477325940787225,17.48,12
Candidate_023,Food Service Supervisor,0.4492766559123993,0.3912674741564378,39.13,5
Candidate_023,Information Technology (IT) Analyst,0.4827418029308319,0.6179584040078668,61.8,2
Candidate_023,Inside Sales Representative,0.4350931644439697,0.2951893404567072,29.52,6
Candidate_023,Licensed Practical Nurse (L.P.N.),0.4018797278404236,0.0702034820927118,7.02,14
Candidate_023,Office Administrator,0.43284621834754944,0.2799686602773255,28.0,9
Candidate_023,Office Manager,0.4228193759918213,0.21204742222503956,21.2,11
Candidate_023,Restaurant Manager,0.40886715054512024,0.11753587090069201,11.75,13
Candidate_023,Retail Sales Associate,0.43284398317337036,0.27995351933941903,28.0,10
Candidate_023,Secondary School Teacher,0.45438534021377563,0.42587339995615187,42.59,3
Candidate_023,Software Developer,0.539140522480011,1.0,100.0,1
Candidate_024,Administrative Assistant,0.4825176000595093,0.5141979582945674,51.42,3
Candidate_024,Bookkeeper,0.4731977880001068,0.44728211979933874,44.73,5
