candidate_id,recommended_occupation,recommendation_rank,recommendation_score,recommendation_percentage,skill_percentage,semantic_percentage,demand_percentage,education_percentage,recommendation_label,recommendation_summary
Candidate_001,Software Developer,1,0.8458171720921132,84.58,100.0,100.0,22.91,100.0,Rank 1: Software Developer,Software Developer — Overall Match: 84.58% | Skill: 100.0% | Semantic: 100.0% | Demand: 22.91% | Education: 100.0%
Candidate_004,Software Developer,1,0.8458171720921132,84.58,100.0,100.0,22.91,100.0,Rank 1: Software Developer,Software Developer — Overall Match: 84.58% | Skill: 100.0% | Semantic: 100.0% | Demand: 22.91% | Education: 100.0%
Candidate_004,Information Technology (IT) Analyst,2,0.6992755023728969,69.93,74.24,81.76,26.64,100.0,Rank 2: Information Technology (IT) Analyst,Information Technology (IT) Analyst — Overall Match: 69.93% | Skill: 74.24% | Semantic: 81.76% | Demand: 26.64% | Education: 100.0%
Candidate_004,Secondary School Teacher,3,0.571702112812933,57.17,76.52,37.48,36.36,100.0,Rank 3: Secondary School Teacher,Secondary School Teacher — Overall Match: 57.17% | Skill: 76.52% | Semantic: 37.48% | Demand: 36.36% | Education: 100.0%
Candidate_004,Bookkeeper,4,0.5533414265204007,55.33,72.19,40.24,29.92,100.0,Rank 4: Bookkeeper,Bookkeeper — Overall Match: 55.33% | Skill: 72.19% | Semantic: 40.24% | Demand: 29.92% | Education: 100.0%
Candidate_004,Licensed Practical Nurse (L.P.N.),5,0.4609505729240499,46.1,72.05,13.71,30.39,100.0,Rank 5: Licensed Practical Nurse (L.P.N.),Licensed Practical Nurse (L.P.N.) — Overall Match: 46.1% | Skill: 72.05% | Semantic: 13.71% | Demand: 30.39% | Education: 100.0%
Candidate_005,Software Developer,1,0.8458171720921132,84.58,100.0,100.0,22.91,100.0,Rank 1: Software Developer,Software Developer — Overall Match: 84.58% | Skill: 100.0% | Semantic: 100.0% | Demand: 22.91% | Education: 100.0%
Candidate_005,Office Manager,2,0.6546004372927443,65.46,92.47,35.78,52.86,100.0,Rank 2: Office Manager,Office Manager — Overall Match: 65.46% | Skill: 92.47% | Semantic: 35.78% | Demand: 52.86% | Education: 100.0%
Candidate_005,Office Administrator,3,0.6273969522166322,62.74,75.19,45.29,52.86,100.0,Rank 3: Office Administrator,Office Administrator — Overall Match: 62.74% | Skill: 75.19% | Semantic: 45.29% | Demand: 52.86% | Education: 100.0%
Candidate_005,Secondary School Teacher,4,0.6194622770021931,61.95,82.18,45.46,36.36,100.0,Rank 4: Secondary School Teacher,Secondary School Teacher — Overall Match: 61.95% | Skill: 82.18% | Semantic: 45.46% | Demand: 36.36% | Education: 100.0%
Candidate_005,Bookkeeper,5,0.5969300806108413,59.69,92.61,32.28,29.92,100.0,Rank 5: Bookkeeper,Bookkeeper — Overall Match: 59.69% | Skill: 92.61% | Semantic: 32.28% | Demand: 29.92% | Education: 100.0%
Candidate_006,Software Developer,1,0.8458171720921132,84.58,100.0,100.0,22.91,100.0,Rank 1: Software Developer,Software Developer — Overall Match: 84.58% | Skill: 100.0% | Semantic: 100.0% | Demand: 22.91% | Education: 100.0%
Candidate_006,Information Technology (IT) Analyst,2,0.7568064072677244,75.68,81.55,90.89,26.64,100.0,Rank 2: Information Technology (IT) Analyst,Information Technology (IT) Analyst — Overall Match: 75.68% | Skill: 81.55% | Semantic: 90.89% | Demand: 26.64% | Education: 100.0%
Candidate_006,Administrative Assistant,3,0.610374921176186,61.04,70.54,50.23,43.85,100.0,Rank 3: Administrative Assistant,Administrative Assistant — Overall Match: 61.04% | Skill: 70.54% | Semantic: 50.23% | Demand: 43.85% | Education: 100.0%
Candidate_006,Retail Sales Associate,4,0.5505198690039517,55.05,73.75,34.15,86.44,0.0,Rank 4: Retail Sales Associate,Retail Sales Associate — Overall Match: 55.05% | Skill: 73.75% | Semantic: 34.15% | Demand: 86.44% | Education: 0.0%
Candidate_006,Inside Sales Representative,5,0.5482584738154712,54.83,73.75,33.5,86.44,0.0,Rank 5: Inside Sales Representative,Inside Sales Representative — Overall Match: 54.83% | Skill: 73.75% | Semantic: 33.5% | Demand: 86.44% | Education: 0.0%
Candidate_007,Food Service Supervisor,1,0.7431132210509125,74.31,100.0,44.7,68.33,100.0,Rank 1: Food Service Supervisor,Food Service Supervisor — Overall Match: 74.31% | Skill: 100.0% | Semantic: 44.7% | Demand: 68.33% | Education: 100.0%
Candidate_007,Administrative Assistant,2,0.6991469091471364,69.91,100.0,46.13,43.85,100.0,Rank 2: Administrative Assistant,Administrative Assistant — Overall Match: 69.91% | Skill: 100.0% | Semantic: 46.13% | Demand: 43.85% | Education: 100.0%
Candidate_007,Software Developer,3,0.3958171720921131,39.58,0.0,100.0,22.91,0.0,Rank 3: Software Developer,Software Developer — Overall Match: 39.58% | Skill: 0.0% | Semantic: 100.0% | Demand: 22.91% | Education: 0.0%
Candidate_007,Information Technology (IT) Analyst,4,0.3875956629582961,38.76,0.0,95.52,26.64,0.0,Rank 4: Information Technology (IT) Analyst,Information Technology (IT) Analyst — Overall Match: 38.76% | Skill: 0.0% | Semantic: 95.52% | Demand: 26.64% | Education: 0.0%
Candidate_007,Bookkeeper,5,0.3060032199596656,30.6,0.0,41.76,29.92,100.0,Rank 5: Bookkeeper,Bookkeeper — Overall Match: 30.6% | Skill: 0.0% | Semantic: 41.76% | Demand: 29.92% | Education: 100.0%
Candidate_008,Software Developer,1,0.8458171720921132,84.58,100.0,100.0,22.91,100.0,Rank 1: Software Developer,Software Developer — Overall Match: 84.58% | Skill: 100.0% | Semantic: 100.0% | Demand: 22.91% | Education: 100.0%
Candidate_008,Information Technology (IT) Analyst,2,0.7007997630592073,70.08,78.79,77.64,26.64,100.0,Rank 2: Information Technology (IT) Analyst,Information Technology (IT) Analyst — Overall Match: 70.08% | Skill: 78.79% | Semantic: 77.64% | Demand: 26.64% | Education: 100.0%
Candidate_008,Secondary School Teacher,3,0.6099978664564449,61.0,87.07,37.86,36.36,100.0,Rank 3: Secondary School Teacher,Secondary School Teacher — Overall Match: 61.0% | Skill: 87.07% | Semantic: 37.86% | Demand: 36.36% | Education: 100.0%
Candidate_008,Restaurant Manager,4,0.577557406722316,57.76,81.33,21.6,58.65,100.0,Rank 4: Restaurant Manager,Restaurant Manager — Overall Match: 57.76% | Skill: 81.33% | Semantic: 21.6% | Demand: 58.65% | Education: 100.0%
Candidate_008,Food Service Supervisor,5,0.5525408142064236,55.25,63.75,55.07,68.33,0.0,Rank 5: Food Service Supervisor,Food Service Supervisor — Overall Match: 55.25% | Skill: 63.75% | Semantic: 55.07% | Demand: 68.33% | Education: 0.0%
Candidate_009,Administrative Assistant,1,0.7418403252215322,74.18,100.0,58.33,43.85,100.0,Rank 1: Administrative Assistant,Administrative Assistant — Overall Match: 74.18% | Skill: 100.0% | Semantic: 58.33% | Demand: 43.85% | Education: 100.0%
Candidate_009,Office Administrator,2,0.5374258216714608,53.74,54.95,39.82,52.86,100.0,Rank 2: Office Administrator,Office Administrator — Overall Match: 53.74% | Skill: 54.95% | Semantic: 39.82% | Demand: 52.86% | Education: 100.0%
Candidate_009,"Driver, Truck",3,0.5200147910672025,52.0,47.6,21.66,88.8,100.0,"Rank 3: Driver, Truck","Driver, Truck — Overall Match: 52.0% | Skill: 47.6% | Semantic: 21.66% | Demand: 88.8% | Education: 100.0%"
Candidate_009,Software Developer,4,0.4933658316587673,49.34,27.87,100.0,22.91,0.0,Rank 4: Software Developer,Software Developer — Overall Match: 49.34% | Skill: 27.87% | Semantic: 100.0% | Demand: 22.91% | Education: 0.0%
Candidate_009,Information Technology (IT) Analyst,5,0.4586776256388556,45.87,41.56,74.27,26.64,0.0,Rank 5: Information Technology (IT) Analyst,Information Technology (IT) Analyst — Overall Match: 45.87% | Skill: 41.56% | Semantic: 74.27% | Demand: 26.64% | Education: 0.0%
Candidate_010,Food Service Supervisor,1,0.7210987430006056,72.11,92.66,45.75,68.33,100.0,Rank 1: Food Service Supervisor,Food Service Supervisor — Overall Match: 72.11% | Skill: 92.66% | Semantic: 45.75% | Demand: 68.33% | Education: 100.0%
Candidate_010,Office Manager,2,0.7183284037038542,71.83,100.0,46.46,52.86,100.0,Rank 2: Office Manager,Office Manager — Overall Match: 71.83% | Skill: 100.0% | Semantic: 46.46% | Demand: 52.86% | Education: 100.0%
Candidate_010,Administrative Assistant,3,0.7033111293405017,70.33,89.8,57.52,43.85,100.0,Rank 3: Administrative Assistant,Administrative Assistant — Overall Match: 70.33% | Skill: 89.8% | Semantic: 57.52% | Demand: 43.85% | Education: 100.0%
Candidate_010,Office Administrator,4,0.5900136329977571,59.0,85.64,52.73,52.86,0.0,Rank 4: Office Administrator,Office Administrator — Overall Match: 59.0% | Skill: 85.64% | Semantic: 52.73% | Demand: 52.86% | Education: 0.0%
Candidate_010,Retail Sales Associate,5,0.5761875662238991,57.62,87.61,27.62,86.44,0.0,Rank 5: Retail Sales Associate,Retail Sales Associate — Overall Match: 57.62% | Skill: 87.61% | Semantic: 27.62% | Demand: 86.44% | Education: 0.0%
Candidate_011,Office Manager,1,0.7173995223248091,71.74,100.0,46.19,52.86,100.0,Rank 1: Office Manager,Office Manager — Overall Match: 71.74% | Skill: 100.0% | Semantic: 46.19% | Demand: 52.86% | Education: 100.0%
Candidate_011,Software Developer,2,0.6449509760619834,64.5,42.61,100.0,22.91,100.0,Rank 2: Software Developer,Software Developer — Overall Match: 64.5% | Skill: 42.61% | Semantic: 100.0% | Demand: 22.91% | Education: 100.0%
Candidate_011,Office Administrator,3,0.6151702073663127,61.52,63.89,53.09,52.86,100.0,Rank 3: Office Administrator,Office Administrator — Overall Match: 61.52% | Skill: 63.89% | Semantic: 53.09% | Demand: 52.86% | Education: 100.0%
Candidate_011,"Driver, Truck",4,0.5957348054574166,59.57,71.43,19.46,88.8,100.0,"Rank 4: Driver, Truck","Driver, Truck — Overall Match: 59.57% | Skill: 71.43% | Semantic: 19.46% | Demand: 88.8% | Education: 100.0%"
Candidate_011,Secondary School Teacher,5,0.5628793829164142,56.29,63.7,47.77,36.36,100.0,Rank 5: Secondary School Teacher,Secondary School Teacher — Overall Match: 56.29% | Skill: 63.7% | Semantic: 47.77% | Demand: 36.36% | Education: 100.0%
Candidate_012,Software Developer,1,0.8458171720921132,84.58,100.0,100.0,22.91,100.0,Rank 1: Software Developer,Software Developer — Overall Match: 84.58% | Skill: 100.0% | Semantic: 100.0% | Demand: 22.91% | Education: 100.0%
Candidate_012,Information Technology (IT) Analyst,2,0.7706076716664401,77.06,78.79,97.59,26.64,100.0,Rank 2: Information Technology (IT) Analyst,Information Technology (IT) Analyst — Overall Match: 77.06% | Skill: 78.79% | Semantic: 97.59% | Demand: 26.64% | Education: 100.0%
Candidate_012,Secondary School Teacher,3,0.6358993310217702,63.59,87.07,45.26,36.36,100.0,Rank 3: Secondary School Teacher,Secondary School Teacher — Overall Match: 63.59% | Skill: 87.07% | Semantic: 45.26% | Demand: 36.36% | Education: 100.0%
Candidate_012,Restaurant Manager,4,0.5683402876866298,56.83,81.33,18.97,58.65,100.0,Rank 4: Restaurant Manager,Restaurant Manager — Overall Match: 56.83% | Skill: 81.33% | Semantic: 18.97% | Demand: 58.65% | Education: 100.0%
Candidate_012,Food Service Supervisor,5,0.5422318740592976,54.22,63.75,52.13,68.33,0.0,Rank 5: Food Service Supervisor,Food Service Supervisor — Overall Match: 54.22% | Skill: 63.75% | Semantic: 52.13% | Demand: 68.33% | Education: 0.0%
Candidate_013,Software Developer,1,0.8458171720921132,84.58,100.0,100.0,22.91,100.0,Rank 1: Software Developer,Software Developer — Overall Match: 84.58% | Skill: 100.0% | Semantic: 100.0% | Demand: 22.91% | Education: 100.0%
Candidate_013,Secondary School Teacher,2,0.6420078693737228,64.2,82.18,51.9,36.36,100.0,Rank 2: Secondary School Teacher,Secondary School Teacher — Overall Match: 64.2% | Skill: 82.18% | Semantic: 51.9% | Demand: 36.36% | Education: 100.0%
Candidate_013,Office Manager,3,0.6418549895531888,64.19,92.47,32.14,52.86,100.0,Rank 3: Office Manager,Office Manager — Overall Match: 64.19% | Skill: 92.47% | Semantic: 32.14% | Demand: 52.86% | Education: 100.0%
Candidate_013,Office Administrator,4,0.6099653767450535,61.0,75.19,40.31,52.86,100.0,Rank 4: Office Administrator,Office Administrator — Overall Match: 61.0% | Skill: 75.19% | Semantic: 40.31% | Demand: 52.86% | Education: 100.0%
Candidate_013,Bookkeeper,5,0.5867856876671061,58.68,92.61,29.38,29.92,100.0,Rank 5: Bookkeeper,Bookkeeper — Overall Match: 58.68% | Skill: 92.61% | Semantic: 29.38% | Demand: 29.92% | Education: 100.0%
Candidate_014,Software Developer,1,0.8458171720921132,84.58,100.0,100.0,22.91,100.0,Rank 1: Software Developer,Software Developer — Overall Match: 84.58% | Skill: 100.0% | Semantic: 100.0% | Demand: 22.91% | Education: 100.0%
Candidate_014,Information Technology (IT) Analyst,2,0.7180046448235917,71.8,74.9,86.45,26.64,100.0,Rank 2: Information Technology (IT) Analyst,Information Technology (IT) Analyst — Overall Match: 71.8% | Skill: 74.9% | Semantic: 86.45% | Demand: 26.64% | Education: 100.0%
Candidate_014,Secondary School Teacher,3,0.5869544255161661,58.7,75.27,43.09,36.36,100.0,Rank 3: Secondary School Teacher,Secondary School Teacher — Overall Match: 58.7% | Skill: 75.27% | Semantic: 43.09% | Demand: 36.36% | Education: 100.0%
Candidate_014,Bookkeeper,4,0.4991491370002179,49.91,63.86,33.09,29.92,100.0,Rank 4: Bookkeeper,Bookkeeper — Overall Match: 49.91% | Skill: 63.86% | Semantic: 33.09% | Demand: 29.92% | Education: 100.0%
Candidate_014,Licensed Practical Nurse (L.P.N.),5,0.4938523045908566,49.39,74.18,20.98,30.39,100.0,Rank 5: Licensed Practical Nurse (L.P.N.),Licensed Practical Nurse (L.P.N.) — Overall Match: 49.39% | Skill: 74.18% | Semantic: 20.98% | Demand: 30.39% | Education: 100.0%
Candidate_015,Food Service Supervisor,1,0.7574532664822402,75.75,100.0,48.8,68.33,100.0,Rank 1: Food Service Supervisor,Food Service Supervisor — Overall Match: 75.75% | Skill: 100.0% | Semantic: 48.8% | Demand: 68.33% | Education: 100.0%
Candidate_015,Administrative Assistant,2,0.7155093291691262,71.55,100.0,50.81,43.85,100.0,Rank 2: Administrative Assistant,Administrative Assistant — Overall Match: 71.55% | Skill: 100.0% | Semantic: 50.81% | Demand: 43.85% | Education: 100.0%
Candidate_015,Software Developer,3,0.3958171720921131,39.58,0.0,100.0,22.91,0.0,Rank 3: Software Developer,Software Developer — Overall Match: 39.58% | Skill: 0.0% | Semantic: 100.0% | Demand: 22.91% | Education: 0.0%
Candidate_015,Information Technology (IT) Analyst,4,0.3538116794503082,35.38,0.0,85.87,26.64,0.0,Rank 4: Information Technology (IT) Analyst,Information Technology (IT) Analyst — Overall Match: 35.38% | Skill: 0.0% | Semantic: 85.87% | Demand: 26.64% | Education: 0.0%
Candidate_015,Bookkeeper,5,0.3210759622947202,32.11,0.0,46.07,29.92,100.0,Rank 5: Bookkeeper,Bookkeeper — Overall Match: 32.11% | Skill: 0.0% | Semantic: 46.07% | Demand: 29.92% | Education: 100.0%
Candidate_016,Software Developer,1,0.8458171720921132,84.58,100.0,100.0,22.91,100.0,Rank 1: Software Developer,Software Developer — Overall Match: 84.58% | Skill: 100.0% | Semantic: 100.0% | Demand: 22.91% | Education: 100.0%
Candidate_016,Information Technology (IT) Analyst,2,0.7386247567593165,73.86,77.38,89.86,26.64,100.0,Rank 2: Information Technology (IT) Analyst,Information Technology (IT) Analyst — Overall Match: 73.86% | Skill: 77.38% | Semantic: 89.86% | Demand: 26.64% | Education: 100.0%
Candidate_016,Inside Sales Representative,3,0.5446658543231258,54.47,77.67,28.55,86.44,0.0,Rank 3: Inside Sales Representative,Inside Sales Representative — Overall Match: 54.47% | Skill: 77.67% | Semantic: 28.55% | Demand: 86.44% | Education: 0.0%
Candidate_016,Retail Sales Associate,4,0.5414077701172073,54.14,77.67,27.62,86.44,0.0,Rank 4: Retail Sales Associate,Retail Sales Associate — Overall Match: 54.14% | Skill: 77.67% | Semantic: 27.62% | Demand: 86.44% | Education: 0.0%
Candidate_016,Licensed Practical Nurse (L.P.N.),5,0.5099512336376286,51.0,79.48,20.28,30.39,100.0,Rank 5: Licensed Practical Nurse (L.P.N.),Licensed Practical Nurse (L.P.N.) — Overall Match: 51.0% | Skill: 79.48% | Semantic: 20.28% | Demand: 30.39% | Education: 100.0%
Candidate_017,Administrative Assistant,1,0.7025427323425103,70.25,100.0,47.1,43.85,100.0,Rank 1: Administrative Assistant,Administrative Assistant — Overall Match: 70.25% | Skill: 100.0% | Semantic: 47.1% | Demand: 43.85% | Education: 100.0%
Candidate_017,Office Administrator,2,0.6860714133246636,68.61,92.96,44.28,52.86,100.0,Rank 2: Office Administrator,Office Administrator — Overall Match: 68.61% | Skill: 92.96% | Semantic: 44.28% | Demand: 52.86% | Education: 100.0%
Candidate_017,Office Manager,3,0.6565411883185116,65.65,89.32,39.49,52.86,100.0,Rank 3: Office Manager,Office Manager — Overall Match: 65.65% | Skill: 89.32% | Semantic: 39.49% | Demand: 52.86% | Education: 100.0%
Candidate_017,Inside Sales Representative,4,0.6086784973140207,60.87,99.78,24.74,86.44,0.0,Rank 4: Inside Sales Representative,Inside Sales Representative — Overall Match: 60.87% | Skill: 99.78% | Semantic: 24.74% | Demand: 86.44% | Education: 0.0%
Candidate_017,Retail Sales Associate,5,0.6028070595623055,60.28,99.78,23.06,86.44,0.0,Rank 5: Retail Sales Associate,Retail Sales Associate — Overall Match: 60.28% | Skill: 99.78% | Semantic: 23.06% | Demand: 86.44% | Education: 0.0%
Candidate_018,Food Service Supervisor,1,0.7854482656329288,78.54,100.0,56.79,68.33,100.0,Rank 1: Food Service Supervisor,Food Service Supervisor — Overall Match: 78.54% | Skill: 100.0% | Semantic: 56.79% | Demand: 68.33% | Education: 100.0%
Candidate_018,Administrative Assistant,2,0.6941560418584811,69.42,100.0,44.7,43.85,100.0,Rank 2: Administrative Assistant,Administrative Assistant — Overall Match: 69.42% | Skill: 100.0% | Semantic: 44.7% | Demand: 43.85% | Education: 100.0%
Candidate_018,Information Technology (IT) Analyst,3,0.4032751741581278,40.33,0.0,100.0,26.64,0.0,Rank 3: Information Technology (IT) Analyst,Information Technology (IT) Analyst — Overall Match: 40.33% | Skill: 0.0% | Semantic: 100.0% | Demand: 26.64% | Education: 0.0%
Candidate_018,Software Developer,4,0.3917469611596428,39.17,0.0,98.84,22.91,0.0,Rank 4: Software Developer,Software Developer — Overall Match: 39.17% | Skill: 0.0% | Semantic: 98.84% | Demand: 22.91% | Education: 0.0%
Candidate_018,Inside Sales Representative,5,0.3078376456808203,30.78,0.0,38.56,86.44,0.0,Rank 5: Inside Sales Representative,Inside Sales Representative — Overall Match: 30.78% | Skill: 0.0% | Semantic: 38.56% | Demand: 86.44% | Education: 0.0%
Candidate_019,Office Manager,1,0.72111843045672,72.11,100.0,47.25,52.86,100.0,Rank 1: Office Manager,Office Manager — Overall Match: 72.11% | Skill: 100.0% | Semantic: 47.25% | Demand: 52.86% | Education: 100.0%
Candidate_019,Software Developer,2,0.7095812807752525,70.96,61.08,100.0,22.91,100.0,Rank 2: Software Developer,Software Developer — Overall Match: 70.96% | Skill: 61.08% | Semantic: 100.0% | Demand: 22.91% | Education: 100.0%
Candidate_019,Bookkeeper,3,0.6655549791703309,66.56,86.52,57.97,29.92,100.0,Rank 3: Bookkeeper,Bookkeeper — Overall Match: 66.56% | Skill: 86.52% | Semantic: 57.97% | Demand: 29.92% | Education: 100.0%
Candidate_019,Office Administrator,4,0.6467086525618754,64.67,69.65,56.34,52.86,100.0,Rank 4: Office Administrator,Office Administrator — Overall Match: 64.67% | Skill: 69.65% | Semantic: 56.34% | Demand: 52.86% | Education: 100.0%
Candidate_019,"Driver, Truck",5,0.5697423828278765,56.97,70.84,12.62,88.8,100.0,"Rank 5: Driver, Truck","Driver, Truck — Overall Match: 56.97% | Skill: 70.84% | Semantic: 12.62% | Demand: 88.8% | Education: 100.0%"
Candidate_020,Software Developer,1,0.8313342789746709,83.13,95.86,100.0,22.91,100.0,Rank 1: Software Developer,Software Developer — Overall Match: 83.13% | Skill: 95.86% | Semantic: 100.0% | Demand: 22.91% | Education: 100.0%
Candidate_020,Office Manager,2,0.6742646307800073,67.43,94.35,39.52,52.86,100.0,Rank 2: Office Manager,Office Manager — Overall Match: 67.43% | Skill: 94.35% | Semantic: 39.52% | Demand: 52.86% | Education: 100.0%
Candidate_020,Office Administrator,3,0.6609584835399128,66.1,82.83,47.24,52.86,100.0,Rank 3: Office Administrator,Office Administrator — Overall Match: 66.1% | Skill: 82.83% | Semantic: 47.24% | Demand: 52.86% | Education: 100.0%
Candidate_020,Bookkeeper,4,0.6491750787524256,64.92,100.0,39.81,29.92,100.0,Rank 4: Bookkeeper,Bookkeeper — Overall Match: 64.92% | Skill: 100.0% | Semantic: 39.81% | Demand: 29.92% | Education: 100.0%
Candidate_020,Secondary School Teacher,5,0.5702062721370142,57.02,67.09,46.48,36.36,100.0,Rank 5: Secondary School Teacher,Secondary School Teacher — Overall Match: 57.02% | Skill: 67.09% | Semantic: 46.48% | Demand: 36.36% | Education: 100.0%
Candidate_021,Software Developer,1,0.8313342789746709,83.13,95.86,100.0,22.91,100.0,Rank 1: Software Developer,Software Developer — Overall Match: 83.13% | Skill: 95.86% | Semantic: 100.0% | Demand: 22.91% | Education: 100.0%
Candidate_021,Office Manager,2,0.6877877741868875,68.78,94.35,43.38,52.86,100.0,Rank 2: Office Manager,Office Manager — Overall Match: 68.78% | Skill: 94.35% | Semantic: 43.38% | Demand: 52.86% | Education: 100.0%
Candidate_021,Bookkeeper,3,0.6750266612483901,67.5,100.0,47.19,29.92,100.0,Rank 3: Bookkeeper,Bookkeeper — Overall Match: 67.5% | Skill: 100.0% | Semantic: 47.19% | Demand: 29.92% | Education: 100.0%
Candidate_021,Office Administrator,4,0.6633700674970511,66.34,82.83,47.93,52.86,100.0,Rank 4: Office Administrator,Office Administrator — Overall Match: 66.34% | Skill: 82.83% | Semantic: 47.93% | Demand: 52.86% | Education: 100.0%
Candidate_021,Secondary School Teacher,5,0.5783705457859576,57.84,67.09,48.82,36.36,100.0,Rank 5: Secondary School Teacher,Secondary School Teacher — Overall Match: 57.84% | Skill: 67.09% | Semantic: 48.82% | Demand: 36.36% | Education: 100.0%
Candidate_022,Food Service Supervisor,1,0.7280742994953107,72.81,92.66,47.74,68.33,100.0,Rank 1: Food Service Supervisor,Food Service Supervisor — Overall Match: 72.81% | Skill: 92.66% | Semantic: 47.74% | Demand: 68.33% | Education: 100.0%
Candidate_022,Office Manager,2,0.7216433079134098,72.16,100.0,47.4,52.86,100.0,Rank 2: Office Manager,Office Manager — Overall Match: 72.16% | Skill: 100.0% | Semantic: 47.4% | Demand: 52.86% | Education: 100.0%
Candidate_022,Administrative Assistant,3,0.7053813610385259,70.54,89.8,58.11,43.85,100.0,Rank 3: Administrative Assistant,Administrative Assistant — Overall Match: 70.54% | Skill: 89.8% | Semantic: 58.11% | Demand: 43.85% | Education: 100.0%
Candidate_022,Office Administrator,4,0.5915139142069931,59.15,85.64,53.16,52.86,0.0,Rank 4: Office Administrator,Office Administrator — Overall Match: 59.15% | Skill: 85.64% | Semantic: 53.16% | Demand: 52.86% | Education: 0.0%
Candidate_022,Retail Sales Associate,5,0.5749888439840319,57.5,87.61,27.28,86.44,0.0,Rank 5: Retail Sales Associate,Retail Sales Associate — Overall Match: 57.5% | Skill: 87.61% | Semantic: 27.28% | Demand: 86.44% | Education: 0.0%
Candidate_023,Software Developer,1,0.7824589991056498,78.25,81.9,100.0,22.91,100.0,Rank 1: Software Developer,Software Developer — Overall Match: 78.25% | Skill: 81.9% | Semantic: 100.0% | Demand: 22.91% | Education: 100.0%
