candidate_id,selected_occupation,education_score,education_percentage
Candidate_005,Food Service Supervisor,0.0,0.0
Candidate_005,Information Technology (IT) Analyst,0.0,0.0
Candidate_005,Inside Sales Representative,0.0,0.0
Candidate_005,Licensed Practical Nurse (L.P.N.),0.0,0.0
Candidate_005,Office Administrator,1.0,100.0
Candidate_005,Office Manager,1.0,100.0
Candidate_005,Restaurant Manager,0.0,0.0
Candidate_005,Retail Sales Associate,0.0,0.0
Candidate_005,Secondary School Teacher,1.0,100.0
Candidate_005,Software Developer,1.0,100.0
Candidate_006,Administrative Assistant,1.0,100.0
Candidate_006,Bookkeeper,0.0,0.0
Candidate_006,Continuing Care Assistant,0.0,0.0
Candidate_006,Delivery Driver,0.0,0.0
Candidate_006,"Driver, Truck",0.0,0.0
Candidate_006,Food Service Supervisor,0.0,0.0
Candidate_006,Information Technology (IT) Analyst,1.0,100.0
Candidate_006,Inside Sales Representative,0.0,0.0
Candidate_006,Licensed Practical Nurse (L.P.N.),0.0,0.0
Candidate_006,Office Administrator,0.0,0.0
Candidate_006,Office Manager,0.0,0.0
Candidate_006,Restaurant Manager,0.0,0.0
Candidate_006,Retail Sales Associate,0.0,0.0
Candidate_006,Secondary School Teacher,0.0,0.0
Candidate_006,Software Developer,1.0,100.0
Candidate_007,Administrative Assistant,1.0,100.0
Candidate_007,Bookkeeper,1.0,100.0
Candidate_007,Continuing Care Assistant,1.0,100.0
Candidate_007,Delivery Driver,1.0,100.0
Candidate_007,"Driver, Truck",0.0,0.0
Candidate_007,Food Service Supervisor,1.0,100.0
Candidate_007,Information Technology (IT) Analyst,0.0,0.0
Candidate_007,Inside Sales Representative,0.0,0.0
Candidate_007,Licensed Practical Nurse (L.P.N.),0.0,0.0
Candidate_007,Office Administrator,0.0,0.0
Candidate_007,Office Manager,0.0,0.0
Candidate_007,Restaurant Manager,0.0,0.0
Candidate_007,Retail Sales Associate,0.0,0.0
Candidate_007,Secondary School Teacher,0.0,0.0
Candidate_007,Software Developer,0.0,0.0
Candidate_008,Administrative Assistant,0.0,0.0
Candidate_008,Bookkeeper,0.0,0.0
Candidate_008,Continuing Care Assistant,0.0,0.0
Candidate_008,Delivery Driver,0.0,0.0
Candidate_008,"Driver, Truck",0.0,0.0
Candidate_008,Food Service Supervisor,0.0,0.0
Candidate_008,Information Technology (IT) Analyst,1.0,100.0
Candidate_008,Inside Sales Representative,0.0,0.0
Candidate_008,Licensed Practical Nurse (L.P.N.),1.0,100.0
Candidate_008,Office Administrator,0.0,0.0
Candidate_008,Office Manager,0.0,0.0
Candidate_008,Restaurant Manager,1.0,100.0
Candidate_008,Retail Sales Associate,0.0,0.0
Candidate_008,Secondary School Teacher,1.0,100.0
Candidate_008,Software Developer,1.0,100.0
Candidate_009,Administrative Assistant,1.0,100.0
Candidate_009,Bookkeeper,1.0,100.0
Candidate_009,Continuing Care Assistant,0.0,0.0
Candidate_009,Delivery Driver,1.0,100.0
Candidate_009,"Driver, Truck",1.0,100.0
Candidate_009,Food Service Supervisor,0.0,0.0
Candidate_009,Information Technology (IT) Analyst,0.0,0.0
Candidate_009,Inside Sales Representative,0.0,0.0
Candidate_009,Licensed Practical Nurse (L.P.N.),0.0,0.0
Candidate_009,Office Administrator,1.0,100.0
Candidate_009,Office Manager,0.0,0.0
Candidate_009,Restaurant Manager,0.0,0.0
Candidate_009,Retail Sales Associate,0.0,0.0
Candidate_009,Secondary School Teacher,0.0,0.0
Candidate_009,Software Developer,0.0,0.0
Candidate_010,Administrative Assistant,1.0,100.0
Candidate_010,Bookkeeper,0.0,0.0
Candidate_010,Continuing Care Assistant,0.0,0.0
Candidate_010,Delivery Driver,0.0,0.0
Candidate_010,"Driver, Truck",0.0,0.0
Candidate_010,Food Service Supervisor,1.0,100.0
Candidate_010,Information Technology (IT) Analyst,0.0,0.0
Candidate_010,Inside Sales Representative,0.0,0.0
Candidate_010,Licensed Practical Nurse (L.P.N.),0.0,0.0
Candidate_010,Office Administrator,0.0,0.0
Candidate_010,Office Manager,1.0,100.0
Candidate_010,Restaurant Manager,0.0,0.0
Candidate_010,Retail Sales Associate,0.0,0.0
Candidate_010,Secondary School Teacher,0.0,0.0
Candidate_010,Software Developer,0.0,0.0
Candidate_011,Administrative Assistant,0.0,0.0
Candidate_011,Bookkeeper,0.0,0.0
Candidate_011,Continuing Care Assistant,0.0,0.0
Candidate_011,Delivery Driver,0.0,0.0
Candidate_011,"Driver, Truck",1.0,100.0
Candidate_011,Food Service Supervisor,0.0,0.0
Candidate_011,Information Technology (IT) Analyst,0.0,0.0
Candidate_011,Inside Sales Representative,0.0,0.0
Candidate_011,Licensed Practical Nurse (L.P.N.),0.0,0.0
Candidate_011,Office Administrator,1.0,100.0
Candidate_011,Office Manager,1.0,100.0
Candidate_011,Restaurant Manager,0.0,0.0
Candidate_011,Retail Sales Associate,0.0,0.0
Candidate_011,Secondary School Teacher,1.0,100.0
Candidate_011,Software Developer,1.0,100.0
Candidate_012,Administrative Assistant,0.0,0.0
Candidate_012,Bookkeeper,0.0,0.0
Candidate_012,Continuing Care Assistant,0.0,0.0
Candidate_012,Delivery Driver,0.0,0.0
Candidate_012,"Driver, Truck",0.0,0.0
Candidate_012,Food Service Supervisor,0.0,0.0
Candidate_012,Information Technology (IT) Analyst,1.0,100.0
Candidate_012,Inside Sales Representative,0.0,0.0
Candidate_012,Licensed Practical Nurse (L.P.N.),1.0,100.0
Candidate_012,Office Administrator,0.0,0.0
Candidate_012,Office Manager,0.0,0.0
Candidate_012,Restaurant Manager,1.0,100.0
Candidate_012,Retail Sales Associate,0.0,0.0
Candidate_012,Secondary School Teacher,1.0,100.0
Candidate_012,Software Developer,1.0,100.0
Candidate_013,Administrative Assistant,0.0,0.0
Candidate_013,Bookkeeper,1.0,100.0
Candidate_013,Continuing Care Assistant,0.0,0.0
Candidate_013,Delivery Driver,0.0,0.0
Candidate_013,"Driver, Truck",0.0,0.0
Candidate_013,Food Service Supervisor,0.0,0.0
Candidate_013,Information Technology (IT) Analyst,0.0,0.0
Candidate_013,Inside Sales Representative,0.0,0.0
Candidate_013,Licensed Practical Nurse (L.P.N.),0.0,0.0
Candidate_013,Office Administrator,1.0,100.0
Candidate_013,Office Manager,1.0,100.0
Candidate_013,Restaurant Manager,0.0,0.0
Candidate_013,Retail Sales Associate,0.0,0.0
Candidate_013,Secondary School Teacher,1.0,100.0
Candidate_013,Software Developer,1.0,100.0
Candidate_014,Administrative Assistant,0.0,0.0
Candidate_014,Bookkeeper,1.0,100.0
Candidate_014,Continuing Care Assistant,0.0,0.0
Candidate_014,Delivery Driver,0.0,0.0
Candidate_014,"Driver, Truck",0.0,0.0
Candidate_014,Food Service Supervisor,0.0,0.0
Candidate_014,Information Technology (IT) Analyst,1.0,100.0
Candidate_014,Inside Sales Representative,0.0,0.0
Candidate_014,Licensed Practical Nurse (L.P.N.),1.0,100.0
Candidate_014,Office Administrator,0.0,0.0
Candidate_014,Office Manager,0.0,0.0
Candidate_014,Restaurant Manager,0.0,0.0
Candidate_014,Retail Sales Associate,0.0,0.0
Candidate_014,Secondary School Teacher,1.0,100.0
Candidate_014,Software Developer,1.0,100.0
Candidate_015,Administrative Assistant,1.0,100.0
Candidate_015,Bookkeeper,1.0,100.0
Candidate_015,Continuing Care Assistant,1.0,100.0
Candidate_015,Delivery Driver,1.0,100.0
Candidate_015,"Driver, Truck",0.0,0.0
Candidate_015,Food Service Supervisor,1.0,100.0
Candidate_015,Information Technology (IT) Analyst,0.0,0.0
Candidate_015,Inside Sales Representative,0.0,0.0
Candidate_015,Licensed Practical Nurse (L.P.N.),0.0,0.0
Candidate_015,Office Administrator,0.0,0.0
Candidate_015,Office Manager,0.0,0.0
Candidate_015,Restaurant Manager,0.0,0.0
Candidate_015,Retail Sales Associate,0.0,0.0
Candidate_015,Secondary School Teacher,0.0,0.0
Candidate_015,Software Developer,0.0,0.0
Candidate_016,Administrative Assistant,0.0,0.0
Candidate_016,Bookkeeper,0.0,0.0
Candidate_016,Continuing Care Assistant,0.0,0.0
Candidate_016,Delivery Driver,0.0,0.0
Candidate_016,"Driver, Truck",0.0,0.0
Candidate_016,Food Service Supervisor,0.0,0.0
Candidate_016,Information Technology (IT) Analyst,1.0,100.0
Candidate_016,Inside Sales Representative,0.0,0.0
Candidate_016,Licensed Practical Nurse (L.P.N.),1.0,100.0
Candidate_016,Office Administrator,0.0,0.0
Candidate_016,Office Manager,0.0,0.0
Candidate_016,Restaurant Manager,0.0,0.0
Candidate_016,Retail Sales Associate,0.0,0.0
Candidate_016,Secondary School Teacher,0.0,0.0
Candidate_016,Software Developer,1.0,100.0
Candidate_017,Administrative Assistant,1.0,100.0
Candidate_017,Bookkeeper,0.0,0.0
Candidate_017,Continuing Care Assistant,0.0,0.0
Candidate_017,Delivery Driver,0.0,0.0
Candidate_017,"Driver, Truck",0.0,0.0
Candidate_017,Food Service Supervisor,0.0,0.0
Candidate_017,Information Technology (IT) Analyst,0.0,0.0
Candidate_017,Inside Sales Representative,0.0,0.0
Candidate_017,Licensed Practical Nurse (L.P.N.),0.0,0.0
Candidate_017,Office Administrator,1.0,100.0
Candidate_017,Office Manager,1.0,100.0
Candidate_017,Restaurant Manager,0.0,0.0
Candidate_017,Retail Sales Associate,0.0,0.0
Candidate_017,Secondary School Teacher,0.0,0.0
Candidate_017,Software Developer,0.0,0.0
Candidate_018,Administrative Assistant,1.0,100.0
Candidate_018,Bookkeeper,1.0,100.0
Candidate_018,Continuing Care Assistant,1.0,100.0
Candidate_018,Delivery Driver,1.0,100.0
Candidate_018,"Driver, Truck",0.0,0.0
Candidate_018,Food Service Supervisor,1.0,100.0
Candidate_018,Information Technology (IT) Analyst,0.0,0.0
Candidate_018,Inside Sales Representative,0.0,0.0
Candidate_018,Licensed Practical Nurse (L.P.N.),0.0,0.0
Candidate_018,Office Administrator,0.0,0.0
Candidate_018,Office Manager,0.0,0.0
Candidate_018,Restaurant Manager,0.0,0.0
Candidate_018,Retail Sales Associate,0.0,0.0
Candidate_018,Secondary School Teacher,0.0,0.0
Candidate_018,Software Developer,0.0,0.0
Candidate_019,Administrative Assistant,0.0,0.0
Candidate_019,Bookkeeper,1.0,100.0
Candidate_019,Continuing Care Assistant,0.0,0.0
Candidate_019,Delivery Driver,0.0,0.0
Candidate_019,"Driver, Truck",1.0,100.0
Candidate_019,Food Service Supervisor,0.0,0.0
Candidate_019,Information Technology (IT) Analyst,0.0,0.0
Candidate_019,Inside Sales Representative,0.0,0.0
Candidate_019,Licensed Practical Nurse (L.P.N.),0.0,0.0
Candidate_019,Office Administrator,1.0,100.0
Candidate_019,Office Manager,1.0,100.0
Candidate_019,Restaurant Manager,0.0,0.0
Candidate_019,Retail Sales Associate,0.0,0.0
Candidate_019,Secondary School Teacher,0.0,0.0
Candidate_019,Software Developer,1.0,100.0
Candidate_020,Administrative Assistant,0.0,0.0
Candidate_020,Bookkeeper,1.0,100.0
Candidate_020,Continuing Care Assistant,0.0,0.0
Candidate_020,Delivery Driver,0.0,0.0
Candidate_020,"Driver, Truck",0.0,0.0
Candidate_020,Food Service Supervisor,0.0,0.0
Candidate_020,Information Technology (IT) Analyst,0.0,0.0
Candidate_020,Inside Sales Representative,0.0,0.0
Candidate_020,Licensed Practical Nurse (L.P.N.),0.0,0.0
Candidate_020,Office Administrator,1.0,100.0
Candidate_020,Office Manager,1.0,100.0
Candidate_020,Restaurant Manager,0.0,0.0
Candidate_020,Retail Sales Associate,0.0,0.0
Candidate_020,Secondary School Teacher,1.0,100.0
Candidate_020,Software Developer,1.0,100.0
Candidate_021,Administrative Assistant,0.0,0.0
Candidate_021,Bookkeeper,1.0,100.0
Candidate_021,Continuing Care Assistant,0.0,0.0
Candidate_021,Delivery Driver,0.0,0.0
Candidate_021,"Driver, Truck",0.0,0.0
Candidate_021,Food Service Supervisor,0.0,0.0
Candidate_021,Information Technology (IT) Analyst,0.0,0.0
Candidate_021,Inside Sales Representative,0.0,0.0
Candidate_021,Licensed Practical Nurse (L.P.N.),0.0,0.0
Candidate_021,Office Administrator,1.0,100.0
Candidate_021,Office Manager,1.0,100.0
Candidate_021,Restaurant Manager,0.0,0.0
Candidate_021,Retail Sales Associate,0.0,0.0
Candidate_021,Secondary School Teacher,1.0,100.0
Candidate_021,Software Developer,1.0,100.0
Candidate_022,Administrative Assistant,1.0,100.0
Candidate_022,Bookkeeper,0.0,0.0
Candidate_022,Continuing Care Assistant,0.0,0.0
Candidate_022,Delivery Driver,0.0,0.0
Candidate_022,"Driver, Truck",0.0,0.0
Candidate_022,Food Service Supervisor,1.0,100.0
Candidate_022,Information Technology (IT) Analyst,0.0,0.0
Candidate_022,Inside Sales Representative,0.0,0.0
Candidate_022,Licensed Practical Nurse (L.P.N.),0.0,0.0
Candidate_022,Office Administrator,0.0,0.0
Candidate_022,Office Manager,1.0,100.0
Candidate_022,Restaurant Manager,0.0,0.0
Candidate_022,Retail Sales Associate,0.0,0.0
Candidate_022,Secondary School Teacher,0.0,0.0
Candidate_022,Software Developer,0.0,0.0
Candidate_023,Administrative Assistant,0.0,0.0
Candidate_023,Bookkeeper,0.0,0.0
Candidate_023,Continuing Care Assistant,0.0,0.0
Candidate_023,Delivery Driver,0.0,0.0
Candidate_023,"Driver, Truck",0.0,0.0
Candidate_023,Food Service Supervisor,0.0,0.0
Candidate_023,Information Technology (IT) Analyst,1.0,100.0
Candidate_023,Inside Sales Representative,0.0,0.0
Candidate_023,Licensed Practical Nurse (L.P.N.),0.0,0.0
Candidate_023,Office Administrator,1.0,100.0
Candidate_023,Office Manager,1.0,100.0
Candidate_023,Restaurant Manager,0.0,0.0
Candidate_023,Retail Sales Associate,0.0,0.0
Candidate_023,Secondary School Teacher,1.0,100.0
Candidate_023,Software Developer,1.0,100.0
Candidate_024,Administrative Assistant,0.0,0.0
Candidate_024,Bookkeeper,1.0,100.0
Candidate_024,Continuing Care Assistant,0.0,0.0
Candidate_024,Delivery Driver,0.0,0.0
Candidate_024,"Driver, Truck",1.0,100.0
Candidate_024,Food Service Supervisor,0.0,0.0
Candidate_024,Information Technology (IT) Analyst,0.0,0.0
Candidate_024,Inside Sales Representative,0.0,0.0
Candidate_024,Licensed Practical Nurse (L.P.N.),0.0,0.0
Candidate_024,Office Administrator,1.0,100.0
Candidate_024,Office Manager,1.0,100.0
Candidate_024,Restaurant Manager,0.0,0.0
Candidate_024,Retail Sales Associate,0.0,0.0
Candidate_024,Secondary School Teacher,0.0,0.0
Candidate_024,Software Developer,1.0,100.0
Candidate_025,Administrative Assistant,0.0,0.0
Candidate_025,Bookkeeper,1.0,100.0
Candidate_025,Continuing Care Assistant,0.0,0.0
Candidate_025,Delivery Driver,0.0,0.0
Candidate_025,"Driver, Truck",0.0,0.0
Candidate_025,Food Service Supervisor,0.0,0.0
Candidate_025,Information Technology (IT) Analyst,1.0,100.0
Candidate_025,Inside Sales Representative,0.0,0.0
Candidate_025,Licensed Practical Nurse (L.P.N.),1.0,100.0
Candidate_025,Office Administrator,0.0,0.0
Candidate_025,Office Manager,0.0,0.0
Candidate_025,Restaurant Manager,0.0,0.0
Candidate_025,Retail Sales Associate,0.0,0.0
Candidate_025,Secondary School Teacher,1.0,100.0
Candidate_025,Software Developer,1.0,100.0
Candidate_026,Administrative Assistant,0.0,0.0
Candidate_026,Bookkeeper,0.0,0.0
Candidate_026,Continuing Care Assistant,0.0,0.0
Candidate_026,Delivery Driver,0.0,0.0
Candidate_026,"Driver, Truck",0.0,0.0
Candidate_026,Food Service Supervisor,0.0,0.0
Candidate_026,Information Technology (IT) Analyst,1.0,100.0
Candidate_026,Inside Sales Representative,0.0,0.0
Candidate_026,Licensed Practical Nurse (L.P.N.),1.0,100.0
Candidate_026,Office Administrator,0.0,0.0
Candidate_026,Office Manager,0.0,0.0
Candidate_026,Restaurant Manager,1.0,100.0
Candidate_026,Retail Sales Associate,0.0,0.0
Candidate_026,Secondary School Teacher,1.0,100.0
Candidate_026,Software Developer,1.0,100.0
Candidate_027,Administrative Assistant,0.0,0.0
Candidate_027,Bookkeeper,0.0,0.0
Candidate_027,Continuing Care Assistant,0.0,0.0
Candidate_027,Delivery Driver,0.0,0.0
Candidate_027,"Driver, Truck",0.0,0.0
Candidate_027,Food Service Supervisor,0.0,0.0
Candidate_027,Information Technology (IT) Analyst,1.0,100.0
Candidate_027,Inside Sales Representative,0.0,0.0
Candidate_027,Licensed Practical Nurse (L.P.N.),0.0,0.0
Candidate_027,Office Administrator,1.0,100.0
Candidate_027,Office Manager,1.0,100.0
Candidate_027,Restaurant Manager,0.0,0.0
Candidate_027,Retail Sales Associate,0.0,0.0
Candidate_027,Secondary School Teacher,1.0,100.0
Candidate_027,Software Developer,1.0,100.0
Candidate_028,Administrative Assistant,0.0,0.0
Candidate_028,Bookkeeper,0.0,0.0
Candidate_028,Continuing Care Assistant,0.0,0.0
Candidate_028,Delivery Driver,0.0,0.0
Candidate_028,"Driver, Truck",0.0,0.0
Candidate_028,Food Service Supervisor,0.0,0.0
Candidate_028,Information Technology (IT) Analyst,1.0,100.0
Candidate_028,Inside Sales Representative,0.0,0.0
Candidate_028,Licensed Practical Nurse (L.P.N.),0.0,0.0
Candidate_028,Office Administrator,1.0,100.0
Candidate_028,Office Manager,1.0,100.0
Candidate_028,Restaurant Manager,0.0,0.0
Candidate_028,Retail Sales Associate,0.0,0.0
Candidate_028,Secondary School Teacher,1.0,100.0
Candidate_028,Software Developer,1.0,100.0
Candidate_029,Administrative Assistant,1.0,100.0
Candidate_029,Bookkeeper,1.0,100.0
Candidate_029,Continuing Care Assistant,1.0,100.0
Candidate_029,Delivery Driver,1.0,100.0
Candidate_029,"Driver, Truck",0.0,0.0
Candidate_029,Food Service Supervisor,1.0,100.0
Candidate_029,Information Technology (IT) Analyst,0.0,0.0
Candidate_029,Inside Sales Representative,0.0,0.0
Candidate_029,Licensed Practical Nurse (L.P.N.),0.0,0.0
Candidate_029,Office Administrator,0.0,0.0
Candidate_029,Office Manager,0.0,0.0
Candidate_029,Restaurant Manager,0.0,0.0
Candidate_029,Retail Sales Associate,0.0,0.0
Candidate_029,Secondary School Teacher,0.0,0.0
Candidate_029,Software Developer,0.0,0.0
Candidate_030,Administrative Assistant,0.0,0.0
Candidate_030,Bookkeeper,0.0,0.0
Candidate_030,Continuing Care Assistant,0.0,0.0
Candidate_030,Delivery Driver,0.0,0.0
Candidate_030,"Driver, Truck",0.0,0.0
Candidate_030,Food Service Supervisor,0.0,0.0
Candidate_030,Information Technology (IT) Analyst,1.0,100.0
Candidate_030,Inside Sales Representative,0.0,0.0
Candidate_030,Licensed Practical Nurse (L.P.N.),0.0,0.0
Candidate_030,Office Administrator,1.0,100.0
Candidate_030,Office Manager,1.0,100.0
Candidate_030,Restaurant Manager,0.0,0.0
Candidate_030,Retail Sales Associate,0.0,0.0
Candidate_030,Secondary School Teacher,1.0,100.0
Candidate_030,Software Developer,1.0,100.0
Candidate_031,Administrative Assistant,1.0,100.0
Candidate_031,Bookkeeper,0.0,0.0
Candidate_031,Continuing Care Assistant,0.0,0.0
Candidate_031,Delivery Driver,0.0,0.0
Candidate_031,"Driver, Truck",0.0,0.0
Candidate_031,Food Service Supervisor,0.0,0.0
Candidate_031,Information Technology (IT) Analyst,0.0,0.0
Candidate_031,Inside Sales Representative,0.0,0.0
Candidate_031,Licensed Practical Nurse (L.P.N.),0.0,0.0
Candidate_031,Office Administrator,1.0,100.0
Candidate_031,Office Manager,1.0,100.0
Candidate_031,Restaurant Manager,0.0,0.0
Candidate_031,Retail Sales Associate,0.0,0.0
Candidate_031,Secondary School Teacher,0.0,0.0
Candidate_031,Software Developer,0.0,0.0
Candidate_032,Administrative Assistant,1.0,100.0
Candidate_032,Bookkeeper,1.0,100.0
Candidate_032,Continuing Care Assistant,1.0,100.0
Candidate_032,Delivery Driver,1.0,100.0
Candidate_032,"Driver, Truck",0.0,0.0
Candidate_032,Food Service Supervisor,1.0,100.0
Candidate_032,Information Technology (IT) Analyst,0.0,0.0
Candidate_032,Inside Sales Representative,0.0,0.0
Candidate_032,Licensed Practical Nurse (L.P.N.),0.0,0.0
Candidate_032,Office Administrator,0.0,0.0
Candidate_032,Office Manager,0.0,0.0
Candidate_032,Restaurant Manager,0.0,0.0
Candidate_032,Retail Sales Associate,0.0,0.0
Candidate_032,Secondary School Teacher,0.0,0.0
Candidate_032,Software Developer,0.0,0.0
Candidate_033,Administrative Assistant,1.0,100.0
Candidate_033,Bookkeeper,0.0,0.0
Candidate_033,Continuing Care Assistant,0.0,0.0
Candidate_033,Delivery Driver,0.0,0.0
Candidate_033,"Driver, Truck",1.0,100.0
Candidate_033,Food Service Supervisor,0.0,0.0
Candidate_033,Information Technology (IT) Analyst,0.0,0.0
Candidate_033,Inside Sales Representative,0.0,0.0
Candidate_033,Licensed Practical Nurse (L.P.N.),0.0,0.0
Candidate_033,Office Administrator,1.0,100.0
Candidate_033,Office Manager,1.0,100.0
Candidate_033,Restaurant Manager,0.0,0.0
Candidate_033,Retail Sales Associate,0.0,0.0
Candidate_033,Secondary School Teacher,0.0,0.0
Candidate_033,Software Developer,0.0,0.0
Candidate_034,Administrative Assistant,1.0,100.0
Candidate_034,Bookkeeper,0.0,0.0
Candidate_034,Continuing Care Assistant,0.0,0.0
Candidate_034,Delivery Driver,0.0,0.0
Candidate_034,"Driver, Truck",0.0,0.0
Candidate_034,Food Service Supervisor,1.0,100.0
Candidate_034,Information Technology (IT) Analyst,0.0,0.0
Candidate_034,Inside Sales Representative,0.0,0.0
Candidate_034,Licensed Practical Nurse (L.P.N.),0.0,0.0
Candidate_034,Office Administrator,0.0,0.0
Candidate_034,Office Manager,1.0,100.0
Candidate_034,Restaurant Manager,0.0,0.0
Candidate_034,Retail Sales Associate,0.0,0.0
Candidate_034,Secondary School Teacher,0.0,0.0
Candidate_034,Software Developer,0.0,0.0
Candidate_035,Administrative Assistant,1.0,100.0
Candidate_035,Bookkeeper,0.0,0.0
Candidate_035,Continuing Care Assistant,0.0,0.0
Candidate_035,Delivery Driver,0.0,0.0
Candidate_035,"Driver, Truck",0.0,0.0
Candidate_035,Food Service Supervisor,0.0,0.0
Candidate_035,Information Technology (IT) Analyst,1.0,100.0
Candidate_035,Inside Sales Representative,0.0,0.0
Candidate_035,Licensed Practical Nurse (L.P.N.),0.0,0.0
Candidate_035,Office Administrator,0.0,0.0
Candidate_035,Office Manager,0.0,0.0
Candidate_035,Restaurant Manager,0.0,0.0
Candidate_035,Retail Sales Associate,0.0,0.0
Candidate_035,Secondary School Teacher,0.0,0.0
Candidate_035,Software Developer,1.0,100.0
Candidate_036,Administrative Assistant,1.0,100.0
Candidate_036,Bookkeeper,0.0,0.0
Candidate_036,Continuing Care Assistant,0.0,0.0
Candidate_036,Delivery Driver,0.0,0.0
Candidate_036,"Driver, Truck",1.0,100.0
Candidate_036,Food Service Supervisor,0.0,0.0
Candidate_036,Information Technology (IT) Analyst,0.0,0.0
Candidate_036,Inside Sales Representative,0.0,0.0
Candidate_036,Licensed Practical Nurse (L.P.N.),0.0,0.0
Candidate_036,Office Administrator,1.0,100.0
Candidate_036,Office Manager,1.0,100.0
Candidate_036,Restaurant Manager,0.0,0.0
Candidate_036,Retail Sales Associate,0.0,0.0
Candidate_036,Secondary School Teacher,0.0,0.0
Candidate_036,Software Developer,0.0,0.0
Candidate_037,Administrative Assistant,0.0,0.0
Candidate_037,Bookkeeper,1.0,100.0
Candidate_037,Continuing Care Assistant,0.0,0.0
Candidate_037,Delivery Driver,0.0,0.0
Candidate_037,"Driver, Truck",0.0,0.0
Candidate_037,Food Service Supervisor,0.0,0.0
Candidate_037,Information Technology (IT) Analyst,1.0,100.0
Candidate_037,Inside Sales Representative,0.0,0.0
Candidate_037,Licensed Practical Nurse (L.P.N.),1.0,100.0
Candidate_037,Office Administrator,0.0,0.0
Candidate_037,Office Manager,0.0,0.0
Candidate_037,Restaurant Manager,0.0,0.0
Candidate_037,Retail Sales Associate,0.0,0.0
Candidate_037,Secondary School Teacher,1.0,100.0
Candidate_037,Software Developer,1.0,100.0
Candidate_038,Administrative Assistant,0.0,0.0
Candidate_038,Bookkeeper,1.0,100.0
Candidate_038,Continuing Care Assistant,0.0,0.0
Candidate_038,Delivery Driver,0.0,0.0
Candidate_038,"Driver, Truck",0.0,0.0
Candidate_038,Food Service Supervisor,0.0,0.0
Candidate_038,Information Technology (IT) Analyst,1.0,100.0
Candidate_038,Inside Sales Representative,0.0,0.0
